Description,United States Total,,,,,Alabama,,,,,Alaska,,,,,Arizona,,,,,Arkansas,,,,,California,,,,,Colorado,,,,,Connecticut,,,,,Delaware,,,,,District of Columbia,,,,,Florida,,,,,Georgia,,,,,Hawaii,,,,,Idaho,,,,,Illinois,,,,,Indiana,,,,,Iowa,,,,,Kansas,,,,,Kentucky,,,,,Louisiana,,,,,Maine,,,,,Maryland,,,,,Massachusetts,,,,,Michigan,,,,,Minnesota,,,,,Mississippi,,,,,Missouri,,,,,Montana,,,,,Nebraska,,,,,Nevada,,,,,New Hampshire,,,,,New Jersey,,,,,New Mexico,,,,,New York,,,,,North Carolina,,,,,North Dakota,,,,,Ohio,,,,,Oklahoma,,,,,Oregon,,,,,Pennsylvania,,,,,Rhode Island,,,,,South Carolina,,,,,South Dakota,,,,,Tennessee,,,,,Texas,,,,,Utah,,,,,Vermont,,,,,Virginia,,,,,Washington,,,,,West Virginia,,,,,Wisconsin,,,,,Wyoming,,,,
,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local,State & local,State & local, State, Local, Local
,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government,government
,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV,amount1,CV,amount,amount1,CV
,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
Description,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130
            Revenue1,"3,408,694,937",0.05,"2,141,806,161","1,803,881,332",0.10,"46,651,306",0.35,"30,732,245","21,930,305",0.76,"11,497,088",0.11,"7,914,927","5,519,591",0.41,"59,058,409",0.14,"38,209,919","29,393,016",0.31,"26,682,770",0.17,"21,357,670","10,349,129",0.44,"511,974,138",0.25,"323,312,480","296,962,194",0.43,"55,105,506",0.37,"31,250,994","30,752,239",0.67,"42,801,774",0.15,"28,992,683","18,766,881",0.37,"10,284,816",0.01,"8,172,248","3,549,739",0.02,"14,628,056",0.00,0,"14,741,630",0.00,"164,755,203",0.22,"86,483,094","98,905,358",0.41,"78,329,632",0.22,"45,623,583","44,262,671",0.42,"17,454,318",0.00,"13,426,112","4,308,364",0.00,"13,188,505",0.14,"9,461,986","5,934,070",0.33,"128,361,488",0.18,"74,108,965","73,654,795",0.36,"60,406,402",0.26,"39,978,389","30,708,518",0.52,"36,750,610",0.29,"25,102,154","17,202,995",0.65,"28,166,307",0.47,"17,825,116","15,251,588",0.89,"40,310,025",0.14,"29,900,747","15,054,364",0.47,"42,674,534",0.10,"26,728,156","22,058,242",0.20,"12,567,515",0.37,"8,815,769","5,136,900",0.92,"65,194,610",0.07,"42,552,859","30,747,578",0.14,"85,616,442",0.24,"60,065,774","35,097,283",0.60,"98,854,813",0.19,"71,337,749","46,791,343",0.53,"63,851,206",0.20,"44,304,334","31,922,171",0.45,"29,456,966",0.19,"21,015,751","13,111,233",0.57,"52,638,452",0.32,"33,117,194","26,135,167",0.66,"9,628,358",0.11,"7,052,904","3,910,803",0.29,"22,686,088",0.45,"10,632,566","14,515,392",0.71,"26,301,713",0.47,"16,791,394","14,871,253",0.83,"12,702,773",0.49,"8,322,605","6,196,579",1.01,"103,801,977",0.28,"67,078,222","49,604,499",0.62,"23,439,253",0.05,"18,512,460","9,052,995",0.15,"326,701,288",0.08,"183,210,282","199,120,033",0.13,"92,593,783",0.24,"57,085,205","49,669,968",0.55,"9,950,401",0.16,"7,313,387","4,755,931",0.40,"117,027,357",0.25,"77,605,790","56,862,127",0.56,"32,751,945",0.27,"22,762,070","13,934,006",0.63,"47,935,969",0.19,"33,526,000","21,155,715",0.45,"134,706,521",0.22,"90,397,120","66,305,708",0.50,"12,297,022",0.07,"8,737,676","4,820,513",0.19,"46,702,477",0.15,"29,605,765","23,260,883",0.31,"7,345,444",0.24,"4,500,363","3,654,909",0.49,"56,600,967",0.39,"31,276,993","32,714,003",0.80,"247,566,135",0.23,"143,412,877","139,066,349",0.41,"27,788,917",0.55,"18,205,142","12,860,462",1.20,"7,809,095",0.40,"6,567,959","2,988,631",1.06,"79,074,530",0.16,"51,765,186","39,487,657",0.49,"85,279,112",0.28,"51,173,804","47,235,129",0.51,"16,985,026",0.12,"13,330,561","5,486,482",0.40,"53,990,652",0.22,"36,695,653","28,787,393",0.45,"9,767,243",0.18,"6,453,279","5,316,548",0.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General revenue1,"3,018,371,624",0.05,"1,918,123,251","1,637,240,929",0.10,"38,703,898",0.21,"25,848,641","18,866,501",0.45,"10,649,509",0.12,"7,483,408","5,103,531",0.43,"50,455,305",0.14,"34,551,828","24,448,003",0.33,"24,587,262",0.17,"20,272,146","9,339,145",0.47,"444,254,874",0.26,"286,476,716","266,078,694",0.45,"48,398,207",0.40,"27,385,122","27,910,812",0.70,"39,865,450",0.12,"27,028,846","17,794,394",0.31,"9,678,193",0.00,"8,051,474","3,063,890",0.01,"13,612,630",0.00,0,"13,726,204",0.00,"149,892,554",0.21,"81,650,418","88,875,385",0.39,"69,861,935",0.19,"42,044,132","39,374,425",0.37,"16,515,407",0.00,"12,927,936","3,867,629",0.00,"11,695,270",0.15,"8,210,770","5,692,051",0.33,"115,501,726",0.18,"67,464,029","67,439,969",0.36,"55,164,908",0.24,"37,550,402","27,895,011",0.50,"32,967,426",0.31,"22,461,085","16,060,880",0.66,"25,454,178",0.51,"16,675,801","13,688,774",0.99,"36,762,160",0.11,"28,181,896","13,225,350",0.45,"38,723,324",0.09,"24,019,193","20,815,995",0.17,"11,923,039",0.38,"8,304,505","5,003,688",0.93,"60,885,175",0.05,"39,687,560","29,303,442",0.11,"76,247,163",0.25,"54,398,655","31,395,123",0.64,"85,797,532",0.20,"61,404,277","43,667,534",0.55,"58,196,185",0.20,"41,270,639","29,300,845",0.46,"26,662,384",0.15,"19,088,895","12,243,507",0.53,"45,820,404",0.30,"28,955,152","23,479,161",0.60,"8,635,751",0.12,"6,201,323","3,769,777",0.29,"17,322,074",0.54,"9,880,748","9,903,196",0.96,"22,166,128",0.56,"13,887,186","13,639,876",0.90,"11,240,712",0.56,"6,990,282","6,066,841",1.03,"96,729,909",0.30,"61,136,455","48,474,198",0.62,"20,798,190",0.05,"16,495,816","8,428,576",0.16,"292,905,920",0.09,"161,989,182","186,545,765",0.14,"83,220,188",0.25,"52,976,843","44,404,735",0.59,"9,080,347",0.17,"6,709,560","4,489,704",0.41,"103,472,964",0.27,"67,200,871","53,712,653",0.58,"29,865,733",0.22,"21,162,804","12,647,060",0.52,"41,674,917",0.21,"28,870,727","19,549,936",0.45,"119,518,707",0.16,"79,342,869","62,172,145",0.39,"11,254,970",0.07,"7,966,460","4,549,677",0.18,"40,840,648",0.15,"25,573,048","21,431,771",0.29,"6,667,861",0.26,"4,215,040","3,262,649",0.54,"45,101,054",0.31,"28,835,730","23,655,353",0.82,"212,311,356",0.26,"122,375,878","124,848,569",0.45,"24,107,939",0.62,"16,480,269","10,904,357",1.38,"7,190,125",0.42,"6,201,155","2,736,465",1.12,"70,756,015",0.18,"45,534,176","37,400,152",0.51,"71,233,446",0.32,"44,056,615","40,306,652",0.57,"15,913,176",0.11,"12,530,316","5,214,877",0.39,"49,372,903",0.22,"34,484,963","26,380,334",0.47,"8,714,493",0.19,"5,631,409","5,085,668",0.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intergovernmental revenue1,"693,988,585",0.04,"641,628,610","589,352,531",0.10,"10,411,381",0.22,"9,525,667","6,896,958",0.53,"3,128,884",0.08,"2,853,202","2,213,112",0.84,"14,900,864",0.09,"14,337,939","9,107,451",0.41,"7,669,426",0.12,"7,425,930","5,267,525",0.22,"102,626,183",0.17,"94,755,152","116,171,567",0.24,"9,615,003",0.27,"8,807,816","7,704,914",0.49,"8,002,677",0.32,"7,474,592","5,485,875",0.64,"2,247,296",0.00,"2,238,422","1,446,045",0.00,"4,483,920",0.00,0,"4,597,494",0.00,"29,597,737",0.22,"26,182,588","24,048,398",0.71,"15,652,489",0.21,"14,536,096","12,673,015",0.53,"3,318,774",0.00,"2,943,334","655,598",0.00,"2,750,606",0.24,"2,618,324","2,339,833",0.38,"23,318,709",0.22,"20,521,881","22,199,100",0.57,"14,731,843",0.13,"14,265,372","10,746,976",0.39,"6,590,134",0.20,"6,103,015","6,041,658",0.55,"4,032,336",0.29,"3,807,927","5,134,806",0.69,"12,101,161",0.09,"11,560,815","5,185,432",0.87,"11,012,714",0.03,"10,359,179","6,765,399",0.18,"2,972,240",0.30,"2,893,648","1,463,746",0.92,"13,139,753",0.02,"12,120,521","9,125,059",0.07,"17,123,629",0.28,"16,267,399","10,402,845",0.76,"22,388,750",0.16,"20,908,261","20,754,768",0.80,"11,942,744",0.36,"11,351,831","12,966,212",0.61,"8,751,813",0.16,"8,364,727","5,057,104",1.04,"11,502,771",0.11,"10,994,889","7,121,791",0.43,"2,823,794",0.07,"2,611,018","1,548,125",0.33,"3,405,009",0.74,"3,116,805","2,750,074",1.01,"4,984,200",2.46,"4,575,171","5,769,963",2.12,"2,337,541",0.05,"2,608,163","1,545,789",0.16,"18,165,397",0.11,"17,820,872","13,225,269",0.67,"7,676,684",0.02,"7,480,744","4,322,142",0.18,"62,244,896",0.04,"56,673,695","61,200,228",0.11,"21,115,824",0.34,"18,114,010","17,163,204",1.03,"1,877,388",0.24,"1,679,723","2,316,582",0.48,"26,070,974",0.19,"24,438,345","19,073,189",0.76,"7,544,737",0.32,"7,253,426","4,235,442",0.61,"10,863,703",0.34,"10,030,561","7,578,888",0.53,"28,866,232",0.12,"26,217,294","24,645,245",0.59,"2,952,169",0.14,"2,848,402","1,364,934",0.30,"9,400,715",0.47,"9,185,721","6,379,165",0.70,"1,596,678",0.24,"1,446,181","960,325",0.58,"12,092,296",0.20,"11,483,805","7,998,520",1.72,"45,088,391",0.10,"43,739,377","36,262,105",0.22,"4,722,212",0.04,"4,261,319","3,737,580",0.53,"2,249,266",0.06,"2,179,789","1,816,972",0.16,"11,438,948",0.64,"10,127,264","13,489,997",1.20,"15,003,000",0.27,"13,684,525","14,448,296",0.40,"4,840,317",0.17,"4,748,447","1,923,887",0.65,"9,791,585",0.19,"9,400,091","11,883,888",0.49,"2,822,792",0.24,"2,685,335","2,140,041",0.71
     From Federal Government,"693,988,585",0.04,"626,655,346","67,333,239",0.44,"10,411,381",0.22,"9,394,395","1,016,986",2.24,"3,128,884",0.08,"2,845,781","283,103",0.87,"14,900,864",0.09,"14,140,813","760,051",1.83,"7,669,426",0.12,"7,382,914","286,512",3.13,"102,626,183",0.17,"91,623,771","11,002,412",1.58,"9,615,003",0.27,"8,583,053","1,031,950",2.53,"8,002,677",0.32,"7,429,825","572,852",4.47,"2,247,296",0.00,"2,170,434","76,862",0.00,"4,483,920",0.00,0,"4,483,920",0.00,"29,597,737",0.22,"25,862,887","3,734,850",1.72,"15,652,489",0.21,"14,481,556","1,170,933",2.83,"3,318,774",0.00,"2,935,991","382,783",0.00,"2,750,606",0.24,"2,593,339","157,267",4.20,"23,318,709",0.22,"20,068,712","3,249,997",1.61,"14,731,843",0.13,"14,198,828","533,015",3.62,"6,590,134",0.20,"6,078,432","511,702",2.55,"4,032,336",0.29,"3,769,657","262,679",4.45,"12,101,161",0.09,"11,523,413","577,748",1.83,"11,012,714",0.03,"10,075,187","937,527",0.37,"2,972,240",0.30,"2,834,356","137,884",6.52,"13,139,753",0.02,"11,902,990","1,236,763",0.22,"17,123,629",0.28,"15,679,982","1,443,647",3.35,"22,388,750",0.16,"20,726,092","1,662,658",2.16,"11,942,744",0.36,"11,061,771","880,973",4.90,"8,751,813",0.16,"8,274,933","476,880",2.94,"11,502,771",0.11,"10,757,955","744,816",1.71,"2,823,794",0.07,"2,605,513","218,281",0.97,"3,405,009",0.74,"3,046,265","358,744",7.02,"4,984,200",2.46,"4,362,829","621,371",19.70,"2,337,541",0.05,"2,230,293","107,248",1.14,"18,165,397",0.11,"17,154,953","1,010,444",1.90,"7,676,684",0.02,"7,267,093","409,591",0.41,"62,244,896",0.04,"55,631,548","6,613,348",0.40,"21,115,824",0.34,"17,921,379","3,194,445",2.23,"1,877,388",0.24,"1,630,513","246,875",1.86,"26,070,974",0.19,"23,902,917","2,168,057",2.33,"7,544,737",0.32,"7,101,148","443,589",5.46,"10,863,703",0.34,"10,000,806","862,897",4.26,"28,866,232",0.12,"26,011,804","2,854,428",1.22,"2,952,169",0.14,"2,772,885","179,284",2.26,"9,400,715",0.47,"8,908,804","491,911",8.91,"1,596,678",0.24,"1,416,073","180,605",2.09,"12,092,296",0.20,"11,388,988","703,308",3.51,"45,088,391",0.10,"41,163,852","3,924,539",1.17,"4,722,212",0.04,"4,255,921","466,291",0.39,"2,249,266",0.06,"2,177,534","71,732",1.90,"11,438,948",0.64,"9,482,176","1,956,772",3.74,"15,003,000",0.27,"13,268,745","1,734,255",2.37,"4,840,317",0.17,"4,663,261","177,056",4.55,"9,791,585",0.19,"9,217,128","574,457",3.18,"2,822,792",0.24,"2,675,851","146,941",4.57
