id,code,name,amount,State
,325414,Biological Product (except Diagnostic) Manufacturing,15950.01,AL
,336991,"Motorcycle, Bicycle, and Parts Manufacturing",15857.87,AL
,424440,Poultry and Poultry Product Merchant Wholesalers,15469.0,AL
,713940,Fitness and Recreational Sports Centers,15452.18,AL
,331529,Other Nonferrous Metal Foundries (except Die-Casting),15435.0,AL
,453920,Art Dealers,15000.0,AL
,311421,Fruit and Vegetable Canning,14782.99,AL
,311412,Frozen Specialty Food Manufacturing,14450.69,AL
,541191,Title Abstract and Settlement Offices,14275.5,AL
,324121,Asphalt Paving Mixture and Block Manufacturing,14080.83,AL
,315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing",13831.48,AL
,335228,Other Major Household Appliance Manufacturing,13311.72,AL
,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",13075.6,AL
,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,13015.65,AL
,331222,Steel Wire Drawing,12987.48,AL
,333993,Packaging Machinery Manufacturing,12696.56,AL
,335224,Household Laundry Equipment Manufacturing,12516.07,AL
,541420,Industrial Design Services,12375.0,AL
,213113,Support Activities for Coal Mining,12159.2,AL
,812199,Other Personal Care Services,11655.0,AL
,326299,All Other Rubber Product Manufacturing,11555.6,AL
,333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",11407.82,AL
,324199,All Other Petroleum and Coal Products Manufacturing,11354.0,AL
,335210,Small Electrical Appliance Manufacturing,11303.64,AL
,922110,Courts,10340.95,AL
,453210,Office Supplies and Stationery Stores,10259.0,AL
,423690,Other Electronic Parts and Equipment Merchant Wholesalers,10128.0,AL
,441110,New Car Dealers,10117.66,AL
,488310,Port and Harbor Operations,10071.94,AL
,113110,Timber Tract Operations,10050.53,AL
,237130,Power and Communication Line and Related Structures Construction,9975.0,AL
,325211,Plastics Material and Resin Manufacturing,9678.28,AL
,335121,Residential Electric Lighting Fixture Manufacturing,9554.02,AL
,325212,Synthetic Rubber Manufacturing,9420.0,AL
,512210,Record Production,9350.0,AL
,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",9222.5,AL
,532299,All Other Consumer Goods Rental,9186.13,AL
,423420,Office Equipment Merchant Wholesalers,9161.53,AL
,331523,Nonferrous Metal Die-Casting Foundries,9127.69,AL
,334517,Irradiation Apparatus Manufacturing,9095.0,AL
,532292,Recreational Goods Rental,8300.0,AL
,238150,Glass and Glazing Contractors,8079.59,AL
,493120,Refrigerated Warehousing and Storage,7936.11,AL
,448150,Clothing Accessories Stores,7916.0,AL
,812210,Funeral Homes and Funeral Services,7893.0,AL
,624110,Child and Youth Services,7650.0,AL
,325311,Nitrogenous Fertilizer Manufacturing,7579.2,AL
,323119,Other Commercial Printing,7508.8,AL
,212312,Crushed and Broken Limestone Mining and Quarrying,7353.83,AL
,321999,All Other Miscellaneous Wood Product Manufacturing,6906.25,AL
,322230,Stationery Product Manufacturing,6824.5,AL
,424490,Other Grocery and Related Products Merchant Wholesalers,6739.0,AL
,454390,Other Direct Selling Establishments,6644.0,AL
,111920,Cotton Farming,6548.17,AL
,812310,Coin-Operated Laundries and Drycleaners,6499.3,AL
,333511,Industrial Mold Manufacturing,6280.4,AL
,323113,Commercial Screen Printing,5975.0,AL
,423930,Recyclable Material Merchant Wholesalers,5852.5,AL
,711510,"Independent Artists, Writers, and Performers",5820.12,AL
,325413,In-Vitro Diagnostic Substance Manufacturing,5000.0,AL
,423510,Metal Service Centers and Other Metal Merchant Wholesalers,4950.0,AL
,713120,Amusement Arcades,4875.0,AL
,337920,Blind and Shade Manufacturing,4814.08,AL
,921140,"Executive and Legislative Offices, Combined",4600.0,AL
,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",4347.0,AL
,621210,Offices of Dentists,4258.5,AL
,327991,Cut Stone and Stone Product Manufacturing,4095.0,AL
,611691,Exam Preparation and Tutoring,4000.0,AL
,561410,Document Preparation Services,3987.85,AL
,322121,Paper (except Newsprint) Mills,3986.85,AL
,312111,Soft Drink Manufacturing,3944.08,AL
,325180,Other Basic Inorganic Chemical Manufacturing,3859.5,AL
,424920,"Book, Periodical, and Newspaper Merchant Wholesalers",3780.0,AL
,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,3683.89,AL
,423840,Industrial Supplies Merchant Wholesalers,3669.32,AL
,441310,Automotive Parts and Accessories Stores,3649.0,AL
,451110,Sporting Goods Stores,3499.95,AL
,337110,Wood Kitchen Cabinet and Countertop Manufacturing,3250.0,AL
,424690,Other Chemical and Allied Products Merchant Wholesalers,2870.4,AL
,326191,Plastics Plumbing Fixture Manufacturing,1994.08,AL
,488390,Other Support Activities for Water Transportation,1849.3,AL
,511110,Newspaper Publishers,1646.01,AL
,515111,Radio Networks,1362.0,AL
,517410,Satellite Telecommunications,1215.0,AL
,326291,Rubber Product Manufacturing for Mechanical Use,1104.6,AL
,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",1020.0,AL
,339993,"Fastener, Button, Needle, and Pin Manufacturing",351.68,AL
,511199,All Other Publishers,0.0,AL
,531311,Residential Property Managers,0.0,AL
,332212,Hand and Edge Tool Manufacturing,0.0,AL
,314121,Curtain and Drapery Mills,0.0,AL
,561599,All Other Travel Arrangement and Reservation Services,0.0,AL
,221121,Electric Bulk Power Transmission and Control,0.0,AL
,316211,Rubber and Plastics Footwear Manufacturing,0.0,AL
,561439,Other Business Service Centers (including Copy Shops),0.0,AL
,316213,Men's Footwear (except Athletic) Manufacturing,0.0,AL
,327320,Ready-Mix Concrete Manufacturing,0.0,AL
,336213,Motor Home Manufacturing,0.0,AL
,113310,Logging,0.0,AL
,221112,Fossil Fuel Electric Power Generation,0.0,AL
,315299,All Other Cut and Sew Apparel Manufacturing,0.0,AL
,325411,Medicinal and Botanical Manufacturing,0.0,AL
,325920,Explosives Manufacturing,0.0,AL
,334119,Other Computer Peripheral Equipment Manufacturing,0.0,AL
,334611,Software Reproducing,0.0,AL
,337910,Mattress Manufacturing,0.0,AL
,339111,Laboratory Apparatus and Furniture Manufacturing,0.0,AL
,339944,Carbon Paper and Inked Ribbon Manufacturing,0.0,AL
,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",0.0,AL
,445110,Supermarkets and Other Grocery (except Convenience) Stores,0.0,AL
,448190,Other Clothing Stores,0.0,AL
,484110,"General Freight Trucking, Local",0.0,AL
,485113,Bus and Other Motor Vehicle Transit Systems,0.0,AL
,531110,Lessors of Residential Buildings and Dwellings,0.0,AL
,532112,Passenger Car Leasing,0.0,AL
,562219,Other Nonhazardous Waste Treatment and Disposal,0.0,AL
,611210,Junior Colleges,0.0,AL
,112390,Other Poultry Production,-111.17,AL
,331512,Steel Investment Foundries,-283.82,AL
,333518,Other Metalworking Machinery Manufacturing,-352.27,AL
,115112,"Soil Preparation, Planting, and Cultivating",-413.75,AL
,332431,Metal Can Manufacturing,-1000.0,AL
,442210,Floor Covering Stores,-4744.0,AL
,322211,Corrugated and Solid Fiber Box Manufacturing,-6957.0,AL
,711219,Other Spectator Sports,-8150.0,AL
,927110,Space Research and Technology,-11825.0,AL
,541320,Landscape Architectural Services,-11885.72,AL
,323116,Manifold Business Forms Printing,-15079.01,AL
,922120,Police Protection,-17250.0,AL
,813920,Professional Organizations,-67199.7,AL
,561920,Convention and Trade Show Organizers,-67973.62,AL
,493190,Other Warehousing and Storage,-106538.92,AL
,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",-123679.76,AL
,611692,Automobile Driving Schools,-221245.23,AL
,541940,Veterinary Services,-256947.11,AL
,541720,Research and Development in the Social Sciences and Humanities,-353172.05,AL
,517110,Wired Telecommunications Carriers,-409410.71,AL
,334419,Other Electronic Component Manufacturing,-6210256.53,AL
