State,Total Funding Received,"Agriculture, Forestry, Fishing and Hunting (State as % of US)","Agriculture, Forestry, Fishing and Hunting (as % of Total Funding Received by State)","Mining, Quarrying, and Oil and Gas Extraction (State as % of US)","Mining, Quarrying, and Oil and Gas Extraction (as % of Total Funding Received by State)",Utilities (State as % of US),Utilities (as % of Total Funding Received by State),Construction (State as % of US),Construction (as % of Total Funding Received by State),Manufacturing (State as % of US),Manufacturing (as % of Total Funding Received by State),Wholesale Trade (State as % of US),Wholesale Trade (as % of Total Funding Received by State),Retail Trade (State as % of US),Retail Trade (as % of Total Funding Received by State),Transportation and Warehousing (State as % of US),Transportation and Warehousing (as % of Total Funding Received by State),Information (State as % of US),Information (as % of Total Funding Received by State),Finance and Insurance (State as % of US),Finance and Insurance (as % of Total Funding Received by State),Real Estate and Rental and Leasing (State as % of US),Real Estate and Rental and Leasing (as % of Total Funding Received by State),"Professional, Scientific, and Technical Services (State as % of US)","Professional, Scientific, and Technical Services (as % of Total Funding Received by State)",Administrative and Support and Waste Management and Remediation Services (State as % of US),Administrative and Support and Waste Management and Remediation Services (as % of Total Funding Received by State),Educational Services (State as % of US),Educational Services (as % of Total Funding Received by State),Health Care and Social Assistance (State as % of US),Health Care and Social Assistance (as % of Total Funding Received by State),"Arts, Entertainment, and Recreation (State as % of US)","Arts, Entertainment, and Recreation (as % of Total Funding Received by State)",Accommodation and Food Services (State as % of US),Accommodation and Food Services (as % of Total Funding Received by State),Other Services (except Public Administration) (State as % of US),Other Services (except Public Administration) (as % of Total Funding Received by State),Public Administration (not covered in economic census) (State as % of US),Public Administration (not covered in economic census) (as % of Total Funding Received by State)
Alaska,5078453.0,0.1501931664547464,0.024259356146448537,20.319636393246036,1.0810378672402798,7.260188432450711,2.7564496511043814,4.4634582057103875,28.570629677974768,0.16358912576598586,7.4149745995483265,0.028891363429539737,0.048499021257063915,0.06646790515318925,0.016304177669853398,1.3815643929088788,5.22377582307053,0.5369348183914001,1.4033013596857153,0.00020392986782211006,0.0008073324691594073,0.4042426009244033,0.09201621044833928,0.5362283227942792,17.779686057939298,2.783538794638003,31.47468333368449,3.201231282745741,2.7919722797473954,0.17103028733030917,0.35231201312683214,0.4604920364450578,0.01931690615232631,0.8606720698974365,0.23772987561369577,0.5646305796084283,0.40173651306805436,2.1309056315150796,0.31050794405304133
Alabama,15665904.0,0.42997670299179425,0.022513861951407338,0.337180123028181,0.005815176704772352,2.518673649641775,0.3099916864037977,7.446312843277628,15.451320268527112,2.348701182509934,34.51111407295742,0.13798177345581644,0.07508663400465113,0.1319725073331439,0.010494127884353178,1.258019507207818,1.541972936895311,0.12961898542931616,0.10981811199660102,0.14620279353080742,0.18763041060381833,0.3485327282526045,0.025718273264026127,4.082668526663817,43.882810720658064,0.5900292064631342,2.162786137333664,1.4315219761934541,0.40473246867847523,1.243038033973773,0.8300701957576148,0.10139274196955403,0.0013787905249515126,1.5883188699838389,0.14221968933296159,1.3063274492048345,0.3013040294387097,0.491612320847984,0.0232224070822852
Arkansas,610401.0,0.9626016577326927,1.293575862424865,0.23576700150269078,0.10435762719916908,0.2218225233102953,0.7006869254801351,0.3084299805926167,16.425595633034675,0.12972798480310083,48.922102028011096,0.16756521583068418,2.340264842292198,0.022798170366552836,0.046526791404339116,0.0811220623262414,2.5519289778358814,0.030935570458775413,0.6726725545993535,0.0,0.0,0.04091734436919382,0.0774900434304662,0.03829358156374606,10.563711396278839,0.11817127655209794,11.117118091222,0.055066352810280494,0.39957339519430674,0.20509869466572286,3.515066325251761,0.03755286739613112,0.013106138423757498,0.15255845519593425,0.35058920283551304,0.08703868115226483,0.5152350667839667,0.3220209347390725,0.39039909829767644
Arizona,16125658.0,1.3689278134093728,0.06963436778827878,0.585531234501188,0.009810452385880936,2.257226995443225,0.2698928626664413,1.2189570463370347,2.4572578681750534,4.004173211311239,57.158666021566376,0.1744860052839641,0.09224429787609287,0.614025370189305,0.04743372332465441,2.4326775936249736,2.896756212986782,1.5437346918463828,1.270621018999659,0.00019895596860693666,0.00024805189344831696,1.6319359440271493,0.11698747424756248,1.6709615526585504,17.44836706818413,0.28791133561701326,1.0252666898925922,4.557886499644857,1.2519055036389832,23.667267133498164,15.35382308120388,0.638398745734229,0.008433764377242777,2.110795934531036,0.18361421282778043,1.3526558282982817,0.3030946086044985,0.783228425408168,0.035942719360661124
California,63088466.0,17.74449362837188,0.23071412134192645,26.211590705524422,0.11225348227677623,9.681202084104811,0.2958781720893325,10.3546886328254,5.335398391205137,12.372299198231868,45.14265729650171,2.011310446790918,0.27178502010177263,8.079302311766586,0.15952995274920775,8.55258909417846,2.60310973482855,6.521423183912117,1.371997220537903,22.002366481768597,7.011685781042766,7.827064098360798,0.14341765735752715,11.323191919352924,30.22210272159732,4.159352396536963,3.785918649535717,9.67284851763365,0.6790940201335692,11.14560755087439,1.8481603277530951,6.49570723784578,0.021934278763411367,6.00788028581185,0.1335822620889213,9.755970659800251,0.5587645767135946,6.139613574878313,0.07201633338176269
Colorado,12450138.0,2.8173409714035627,0.1856204324803468,0.7717020378855733,0.01674680232460074,3.136996802062944,0.4858179082031059,2.358790122168567,6.158783139592509,0.7893714220580547,14.594657505001148,0.22144180220172602,0.15162884138312363,0.10861241023220418,0.010867349422150983,8.112919702646526,12.512608293980357,5.382759122885413,5.738410289106835,0.000954988649313296,0.0015421515809704279,0.3392765848117932,0.03150165885711468,2.599259471342619,35.15452599802508,3.797200682164456,17.513982575936108,1.6308581094291927,0.5801863401032181,4.806771239343466,4.0389190866800035,1.4326418911624021,0.024513784505842427,2.2940799477594225,0.2584710306022311,8.570888508569366,2.487482468065816,0.904036950652285,0.05373434414943834
Connecticut,17237958.0,0.02060279637244492,0.000980394545572045,0.42230792576855597,0.006619113470400612,0.2561046574950288,0.028646084414406855,0.35408138303815373,0.6677241004996067,5.649474516753472,75.44125586104803,0.14485564230263345,0.07163841564064606,0.09352066365152836,0.006758341098174158,6.709138790646439,7.473530217442229,0.11870941260313332,0.09140293763333221,0.024461636340222862,0.028530061391262233,1.110304682830027,0.07445777510306036,1.5463454334759972,15.105199815430575,0.17121678643366786,0.5703691817789556,0.14327637348669128,0.036814105243788156,0.3768459097598244,0.22869878207151914,0.05539047940929339,0.0006845358365532623,0.45425349369555745,0.03696493517387617,0.5344922254669923,0.11203763229960301,0.4120192320685825,0.01768770987839743
Delaware,401102.0,0.005973591847631959,0.012216343972356157,0.15323004493267503,0.1032156409092949,0.2640917205274781,1.2695025205558685,0.06682516275770894,5.415829390030466,0.04124286534855882,23.66904178986891,0.0072961543049832375,0.15507277450623533,0.001364679212082388,0.004238323418980708,0.24249648264486776,11.609017157730452,0.022082843890567642,0.7307368200607327,0.7094968796491968,35.56302386924025,0.1702438345001553,0.4906482640325902,0.018221238342129565,7.649425831833299,0.05100456120683176,7.3021326246191745,0.22724183724291644,2.509336777178872,0.01362162751205514,0.35527122776750053,0.0952904010176827,0.050610567885475514,0.2812350961439068,0.9835403463458172,0.2329979830273188,2.0989673449646222,0.015269981378730674,0.028172385079107062
Florida,22473158.0,1.3388160340957995,0.048867186356274454,0.2013457595250609,0.002420665578019787,6.087957272324619,0.5223253447512806,5.3826295060149105,7.785923989854919,4.712512918180583,48.269758082063944,1.7060332509915792,0.6471720618882313,1.9434637485008597,0.10772851772768208,7.907232023784279,6.756242269110555,0.9745910172174608,0.575597786479319,0.3991852554129577,0.35711936880433093,11.378222457134108,0.5852804487913982,2.834685923652726,21.23961394299813,2.532911342234424,6.472192292689795,8.696555271130105,1.7139914203424371,6.156564596864349,2.8658945040122976,15.974520379471723,0.1514295409661606,4.524498820523532,0.2824124673532754,7.7486289678014995,1.2458596161696545,11.241544078895805,0.3701704940622942
Georgia,8917930.0,0.390599760812506,0.03592761997459051,5.504807870250423,0.16677637074971435,5.142683176029683,1.111883587334729,1.3445322417028884,4.901025237919562,2.044493508815585,52.772582875173946,0.7588586984763354,0.7254261919526168,1.2176149581685685,0.17008431328794912,1.8608860526922086,4.006826696329754,1.073214158304984,1.5972877113859383,0.05041046854578258,0.11364744957630302,4.6413071404658695,0.6016306474708817,1.1734389598997412,22.15655426763834,0.8667327386069265,5.581059730228876,2.5502788086883372,1.266628017936898,0.7030002471011025,0.8246644680996599,11.135833415480231,0.2660146468967574,5.1631769514115575,0.8121391399125133,6.761286523035777,2.739514663156136,1.8115873483474636,0.1503263649748316
