Description,United States Total,,,Alabama,,,Alaska,,,Arizona,,,Arkansas,,,California,,,Colorado,,,Connecticut,,,Delaware,,,District of Columbia,,,Florida,,,Georgia,,,Hawaii,,,Idaho,,,Illinois,,,Indiana,,,Iowa,,,Kansas,,,Kentucky,,,Louisiana,,,Maine,,,Maryland,,,Massachusetts,,,Michigan,,,Minnesota,,,Mississippi,,,Missouri,,,Montana,,,Nebraska,,,Nevada,,,New Hampshire,,,New Jersey,,,New Mexico,,,New York,,,North Carolina,,,North Dakota,,,Ohio,,,Oklahoma,,,Oregon,,,Pennsylvania,,,Rhode Island,,,South Carolina,,,South Dakota,,,Tennessee,,,Texas,,,Utah,,,Vermont,,,Virginia,,,Washington,,,West Virginia,,,Wisconsin,,,Wyoming,,
     From Federal Government,"710,814,365","642,248,627","68,565,738","10,983,624","9,862,443","1,121,181","3,520,283","3,278,747","241,536","16,010,428","15,062,496","947,932","8,148,996","7,853,253","295,743","101,132,784","88,705,977","12,426,807","9,863,632","8,743,453","1,120,179","8,096,420","7,517,893","578,527","2,441,182","2,345,614","95,568","3,977,542",0,"3,977,542","30,018,541","26,209,014","3,809,527","16,358,138","15,117,474","1,240,664","3,098,783","2,779,631","319,152","2,775,258","2,625,282","149,976","23,193,311","19,586,714","3,606,597","15,148,173","14,630,307","517,866","6,145,860","5,691,312","454,548","4,408,829","4,112,926","295,903","12,177,070","11,642,056","535,014","13,045,509","12,146,606","898,903","3,069,529","2,943,046","126,483","14,041,279","12,795,954","1,245,325","17,249,437","15,779,692","1,469,745","22,829,016","21,176,260","1,652,756","11,798,289","10,779,443","1,018,846","8,555,928","8,117,519","438,409","11,974,847","11,148,286","826,561","3,277,190","3,049,060","228,130","3,456,843","3,101,736","355,107","5,451,777","4,998,908","452,869","2,434,028","2,330,206","103,822","18,087,468","17,298,154","789,314","7,408,476","6,996,656","411,820","66,871,350","59,694,153","7,177,197","20,550,842","18,310,366","2,240,476","1,928,587","1,694,168","234,419","26,005,867","23,666,373","2,339,494","7,651,013","7,133,911","517,102","10,738,770","9,919,054","819,716","32,142,097","29,224,575","2,917,522","2,908,759","2,749,340","159,419","9,898,618","9,463,339","435,279","1,666,350","1,499,911","166,439","12,002,463","11,298,968","703,495","45,875,556","41,962,867","3,912,689","5,027,563","4,531,587","495,976","2,043,794","1,974,231","69,563","11,760,742","9,967,722","1,793,020","15,690,055","13,773,274","1,916,781","5,212,558","5,023,407","189,151","9,939,148","9,361,012","578,136","2,721,763","2,574,251","147,512"
     From State government1,0,0,"535,931,552",0,0,"6,090,655",0,0,"1,756,083",0,0,"8,270,463",0,0,"5,004,139",0,0,"108,382,712",0,0,"6,985,267",0,0,"5,030,647",0,0,"1,505,301",0,0,"223,197",0,0,"21,128,062",0,0,"11,916,342",0,0,"303,108",0,0,"2,353,073",0,0,"19,348,256",0,0,"11,139,720",0,0,"5,625,528",0,0,"5,039,304",0,0,"4,647,367",0,0,"5,602,202",0,0,"1,346,403",0,0,"8,268,054",0,0,"9,059,463",0,0,"19,079,355",0,0,"11,985,719",0,0,"4,479,595",0,0,"6,501,710",0,0,"1,335,772",0,0,"2,433,361",0,0,"5,812,530",0,0,"1,445,664",0,0,"11,887,863",0,0,"3,841,026",0,0,"57,120,531",0,0,"14,475,727",0,0,"2,044,234",0,0,"16,831,509",0,0,"3,776,036",0,0,"6,758,117",0,0,"23,174,026",0,0,"1,247,369",0,0,"5,895,920",0,0,"842,932",0,0,"7,392,470",0,0,"32,240,555",0,0,"3,483,859",0,0,"1,764,086",0,0,"12,139,554",0,0,"13,695,584",0,0,"1,707,015",0,0,"11,626,132",0,0,"1,887,955"
     From local governments1,0,"16,992,055",0,0,"92,375",0,0,"8,038",0,0,"244,823",0,0,"49,345",0,0,"4,546,152",0,0,"63,176",0,0,"125,340",0,0,"69,939",0,0,0,0,0,"309,766",0,0,"63,395",0,0,"225,764",0,0,"16,892",0,0,"400,629",0,0,"82,912",0,0,"30,647",0,0,"47,918",0,0,"41,580",0,0,"490,278",0,0,"77,551",0,0,"119,555",0,0,"590,786",0,0,"174,420",0,0,"175,188",0,0,"115,220",0,0,"200,862",0,0,"5,785",0,0,"78,009",0,0,"235,669",0,0,"390,080",0,0,"632,140",0,0,"228,909",0,0,"1,194,111",0,0,"181,725",0,0,"42,478",0,0,"572,942",0,0,"164,228",0,0,"30,425",0,0,"41,711",0,0,"74,039",0,0,"363,205",0,0,"37,136",0,0,"111,153",0,0,"2,717,253",0,0,"2,935",0,0,"2,282",0,0,"733,546",0,0,"463,886",0,0,"86,024",0,0,"222,029",0,0,"17,804",0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General revenue from own sources,"2,409,176,095","1,314,809,233","1,094,366,862","29,075,147","16,830,799","12,244,348","8,137,086","5,077,671","3,059,415","36,255,716","20,417,811","15,837,905","17,617,115","13,370,920","4,246,195","356,044,006","196,212,983","159,831,023","41,760,626","19,393,260","22,367,366","33,162,008","20,614,308","12,547,700","7,501,986","5,792,956","1,709,030","9,313,809",0,"9,313,809","126,423,742","58,274,806","68,148,936","56,886,848","28,910,561","27,976,287","14,199,691","10,731,506","3,468,185","9,455,935","5,897,667","3,558,268","95,886,603","48,381,944","47,504,659","41,327,992","24,034,540","17,293,452","28,238,304","17,671,490","10,566,814","22,322,102","13,517,014","8,805,088","25,285,964","16,902,951","8,383,013","29,147,366","14,917,466","14,229,900","9,141,551","5,559,005","3,582,546","48,709,855","28,178,406","20,531,449","60,215,106","38,363,409","21,851,697","66,530,274","43,125,599","23,404,675","47,066,244","30,448,985","16,617,259","18,093,074","10,767,964","7,325,110","35,628,770","18,230,563","17,398,207","5,972,149","3,622,294","2,349,855","14,194,364","6,845,781","7,348,583","18,236,733","10,034,711","8,202,022","9,180,602","4,360,824","4,819,778","81,575,204","45,046,442","36,528,762","13,371,076","9,156,681","4,214,395","230,003,719","101,822,486","128,181,233","64,285,123","36,343,042","27,942,081","7,098,887","4,731,677","2,367,210","80,583,483","44,434,939","36,148,544","22,202,549","13,636,051","8,566,498","32,827,626","20,200,914","12,626,712","93,337,698","54,642,437","38,695,261","8,328,164","5,120,043","3,208,121","32,386,690","16,643,440","15,743,250","5,265,318","2,737,356","2,527,962","34,281,072","18,122,661","16,158,411","175,055,202","81,902,740","93,152,462","21,169,118","13,431,267","7,737,851","5,021,514","4,099,280","922,234","61,928,511","36,534,827","25,393,684","61,266,991","32,962,294","28,304,697","11,153,280","7,810,172","3,343,108","41,017,317","25,981,497","15,035,820","6,006,785","2,960,793","3,045,992"
    Taxes,"1,657,620,906","949,845,262","707,775,644","16,427,543","10,417,084","6,010,459","3,050,845","1,208,929","1,841,916","25,919,448","15,299,010","10,620,438","12,020,260","9,516,281","2,503,979","247,695,114","159,051,926","88,643,188","27,434,523","13,345,839","14,088,684","27,639,123","16,686,545","10,952,578","4,678,293","3,589,030","1,089,263","7,666,286",0,"7,666,286","77,830,121","41,333,978","36,496,143","39,205,358","22,592,761","16,612,597","9,457,286","7,029,026","2,428,260","6,359,229","4,500,758","1,858,471","73,678,260","37,978,923","35,699,337","26,484,839","18,170,514","8,314,325","15,700,683","9,755,430","5,945,253","13,501,632","8,174,015","5,327,617","17,347,288","11,907,759","5,439,529","19,997,805","10,861,190","9,136,615","7,052,206","4,232,556","2,819,650","37,692,886","21,599,795","16,093,091","45,061,498","27,509,262","17,552,236","42,359,252","29,205,910","13,153,342","34,400,003","25,594,522","8,805,481","10,931,921","7,724,629","3,207,292","23,361,574","12,493,358","10,868,216","4,177,710","2,729,685","1,448,025","9,797,654","5,103,105","4,694,549","13,419,761","8,624,618","4,795,143","6,687,676","2,592,039","4,095,637","63,055,553","33,100,504","29,955,049","8,172,661","5,329,658","2,843,003","177,907,930","79,678,037","98,229,893","40,631,188","26,868,715","13,762,473","4,935,167","3,465,326","1,469,841","53,937,633","29,476,074","24,461,559","13,616,479","8,347,989","5,268,490","19,596,535","11,839,680","7,756,855","66,614,292","38,397,150","28,217,142","5,932,950","3,266,663","2,666,287","17,555,475","9,793,497","7,761,978","3,682,892","1,828,426","1,854,466","22,118,448","13,893,728","8,224,720","117,964,058","53,612,926","64,351,132","12,624,107","7,882,783","4,741,324","3,748,421","3,157,314","591,107","40,512,560","22,202,326","18,310,234","39,654,134","23,995,147","15,658,987","7,199,144","5,092,879","2,106,265","28,326,338","18,138,414","10,187,924","2,798,864","1,649,549","1,149,315"
          Property,"525,233,165","16,497,227","508,735,938","2,840,329","395,930","2,444,399","1,568,451","120,805","1,447,646","7,747,407","993,615","6,753,792","2,208,053","1,137,886","1,070,167","63,330,156","2,681,872","60,648,284","8,655,927",0,"8,655,927","10,791,795",0,"10,791,795","883,287",0,"883,287","2,540,862",0,"2,540,862","27,914,673",0,"27,914,673","12,156,323","989,218","11,167,105","1,759,711",0,"1,759,711","1,732,696",0,"1,732,696","28,624,697","63,283","28,561,414","6,744,458","12,251","6,732,207","5,131,799","1,840","5,129,959","4,482,000","683,827","3,798,173","3,697,180","709,772","2,987,408","4,215,477","70,366","4,145,111","2,825,543","38,643","2,786,900","9,644,835","777,064","8,867,771","16,713,976","6,598","16,707,378","14,122,083","2,124,075","11,998,008","8,901,879","854,945","8,046,934","3,032,467","27,099","3,005,368","6,323,846","31,643","6,292,203","1,670,721","277,615","1,393,106","3,710,798",123,"3,710,675","3,006,643","300,490","2,706,153","4,458,618","405,186","4,053,432","29,358,898","4,761","29,354,137","1,657,728","81,694","1,576,034","56,853,460",0,"56,853,460","9,957,529",0,"9,957,529","1,175,192","4,401","1,170,791","15,349,243",0,"15,349,243","2,880,990",0,"2,880,990","6,160,372","20,065","6,140,307","19,562,393","43,360","19,519,033","2,597,429","2,633","2,594,796","5,930,787","37,518","5,893,269","1,384,409",0,"1,384,409","5,477,031",0,"5,477,031","53,011,968",0,"53,011,968","3,214,335",0,"3,214,335","1,611,890","1,056,635","555,255","13,952,878","31,232","13,921,646","11,117,650","2,097,507","9,020,143","1,724,327","7,248","1,717,079","9,572,072","132,022","9,440,050","1,245,894","274,005","971,889"
          Sales and gross receipts,"581,191,478","457,047,209","124,144,269","8,066,926","5,247,294","2,819,632","616,797","263,120","353,677","12,647,222","9,214,293","3,432,929","6,093,303","4,701,868","1,391,435","72,088,741","51,360,200","20,728,541","10,178,867","5,277,083","4,901,784","6,991,466","6,991,466",0,"573,384","556,490","16,894","1,865,334",0,"1,865,334","40,370,397","34,089,929","6,280,468","13,709,738","8,809,190","4,900,548","4,790,113","4,365,856","424,257","2,287,410","2,231,756","55,654","24,815,793","18,629,894","6,185,899","11,233,248","11,013,349","219,899","5,223,008","4,613,085","609,923","5,691,536","4,301,759","1,389,777","6,369,322","5,649,708","719,614","11,565,716","6,770,967","4,794,749","2,171,758","2,165,142","6,616","10,200,826","9,242,760","958,066","9,228,922","8,809,249","419,673","14,582,147","14,314,143","268,004","11,047,102","10,607,635","439,467","5,063,398","4,950,204","113,194","8,852,248","5,403,936","3,448,312","634,143","620,235","13,908","2,891,026","2,407,514","483,512","8,613,635","6,923,284","1,690,351","962,073","959,384","2,689","14,340,836","14,163,269","177,567","4,262,454","3,057,267","1,205,187","44,119,127","25,362,583","18,756,544","15,006,901","11,698,702","3,308,199","1,618,718","1,349,428","269,290","21,481,285","18,743,014","2,738,271","6,008,311","3,764,852","2,243,459","2,108,777","1,523,790","584,987","21,594,258","20,173,496","1,420,762","1,722,342","1,691,782","30,560","5,500,769","4,637,349","863,420","1,920,998","1,517,856","403,142","12,419,849","10,010,965","2,408,884","57,138,299","46,897,352","10,240,947","4,779,110","3,408,030","1,371,080","1,083,471","1,058,569","24,902","9,905,595","6,916,097","2,989,498","24,589,726","19,173,581","5,416,145","2,804,260","2,672,887","131,373","8,477,056","7,972,959","504,097","883,737","762,588","121,149"
               General sales,"393,669,457","303,553,342","90,116,115","5,069,170","2,654,883","2,414,287","233,759",0,"233,759","10,363,019","7,237,044","3,125,975","4,553,884","3,384,394","1,169,490","53,207,859","38,717,703","14,490,156","7,457,546","2,978,382","4,479,164","4,236,619","4,236,619",0,0,0,0,"1,418,935",0,"1,418,935","27,761,468","25,346,166","2,415,302","9,287,472","5,729,916","3,557,556","3,462,574","3,239,225","223,349","1,658,886","1,650,498","8,388","14,411,303","11,363,366","3,047,937","7,556,326","7,556,326",0,"3,548,346","3,205,997","342,349","4,322,807","3,209,506","1,113,301","3,490,639","3,490,639",0,"8,647,454","4,215,378","4,432,076","1,441,867","1,441,867",0,"4,609,538","4,609,538",0,"6,240,822","6,240,822",0,"9,986,926","9,986,926",0,"6,106,985","5,888,795","218,190","3,483,438","3,483,438",0,"6,437,695","3,604,570","2,833,125",0,0,0,"2,234,400","1,835,037","399,363","5,486,444","4,756,243","730,201",0,0,0,"9,591,881","9,591,881",0,"3,357,565","2,258,767","1,098,798","30,391,564","14,132,141","16,259,423","10,526,648","7,656,898","2,869,750","1,114,521","872,176","242,345","15,011,077","12,512,755","2,498,322","4,558,408","2,465,383","2,093,025",0,0,0,"11,430,195","10,509,734","920,461","996,390","996,390",0,"3,814,873","3,285,007","529,866","1,437,264","1,065,361","371,903","9,055,308","7,260,193","1,795,115","40,388,545","32,490,144","7,898,401","3,379,360","2,390,421","988,939","390,409","375,870","14,539","5,430,973","3,970,133","1,460,840","18,406,846","14,509,841","3,897,005","1,383,034","1,334,168","48,866","5,610,211","5,223,935","386,276","678,204","588,866","89,338"
               Selective sales,"187,522,021","153,493,867","34,028,154","2,997,756","2,592,411","405,345","383,038","263,120","119,918","2,284,203","1,977,249","306,954","1,539,419","1,317,474","221,945","18,880,882","12,642,497","6,238,385","2,721,321","2,298,701","422,620","2,754,847","2,754,847",0,"573,384","556,490","16,894","446,399",0,"446,399","12,608,929","8,743,763","3,865,166","4,422,266","3,079,274","1,342,992","1,327,539","1,126,631","200,908","628,524","581,258","47,266","10,404,490","7,266,528","3,137,962","3,676,922","3,457,023","219,899","1,674,662","1,407,088","267,574","1,368,729","1,092,253","276,476","2,878,683","2,159,069","719,614","2,918,262","2,555,589","362,673","729,891","723,275","6,616","5,591,288","4,633,222","958,066","2,988,100","2,568,427","419,673","4,595,221","4,327,217","268,004","4,940,117","4,718,840","221,277","1,579,960","1,466,766","113,194","2,414,553","1,799,366","615,187","634,143","620,235","13,908","656,626","572,477","84,149","3,127,191","2,167,041","960,150","962,073","959,384","2,689","4,748,955","4,571,388","177,567","904,889","798,500","106,389","13,727,563","11,230,442","2,497,121","4,480,253","4,041,804","438,449","504,197","477,252","26,945","6,470,208","6,230,259","239,949","1,449,903","1,299,469","150,434","2,108,777","1,523,790","584,987","10,164,063","9,663,762","500,301","725,952","695,392","30,560","1,685,896","1,352,342","333,554","483,734","452,495","31,239","3,364,541","2,750,772","613,769","16,749,754","14,407,208","2,342,546","1,399,750","1,017,609","382,141","693,062","682,699","10,363","4,474,622","2,945,964","1,528,658","6,182,880","4,663,740","1,519,140","1,421,226","1,338,719","82,507","2,866,845","2,749,024","117,821","205,533","173,722","31,811"
