State,Expenditure per Capita (in thousands),Funding received per Capita (in thousands)
Alabama,10.006592685709373,2.488491261367626
Alaska,20.364364625063747,6.7049802421125255
Arizona,9.309208254987375,2.2937917840253808
Arkansas,9.570121083626233,0.23184733468258092
California,16.292330602939003,1.4301788559406214
Colorado,11.541540109319222,2.1156329882244296
Connecticut,11.969943221493857,6.2987449604014705
Delaware,12.930824268124777,0.3690857279659622
Florida,9.241115540342088,1.072764952879592
Georgia,8.626733521677732,0.7415774569996071
Hawaii,12.900344471449687,1.2133256096965999
Idaho,8.332348789511347,1.4559684887977329
Illinois,12.06053403129511,0.9974681845019862
Indiana,9.550737377661271,0.6406619068306908
Iowa,11.735480690026115,0.6878664933117518
Kansas,10.77608262104868,0.7961953090137097
Kentucky,10.406310358457247,1.6941758270780065
Louisiana,10.939179633767298,0.6431065735830763
Maine,10.24452394811578,0.6625352976971257
Maryland,12.23476104838865,6.101595816754255
Massachusetts,14.072167237628609,2.4531554923086922
Michigan,10.797037507473462,0.6606839612694837
Minnesota,12.625849381687983,0.5750410408894833
Mississippi,10.39769316594671,1.4457060576343808
Missouri,9.63862438504481,2.7664086616885353
Montana,10.428141749147064,1.3380372755135828
Nebraska,12.231588859279864,0.6282701559886392
Nevada,9.627221525054242,0.836273571292369
New Hampshire,9.655372924346542,1.9395296467995335
New Jersey,12.34632159156321,1.172867223717953
New Mexico,12.166263759564814,2.6222324437893825
New York,18.574519917846587,0.6547214699302963
North Carolina,9.812868519248303,0.5085023929504089
North Dakota,13.159641171570458,1.0076319711047874
Ohio,11.502138249029143,0.7891537296809136
Oklahoma,9.134953348356017,1.124004065317858
Oregon,14.167951646464687,0.46220403555007195
Pennsylvania,12.324448043016332,1.1107911601977098
Rhode Island,12.460237239730228,0.4292531878462252
South Carolina,10.375782491072945,1.39865572033919
South Dakota,9.328554817594231,0.6218758352816189
Tennessee,9.521624602469242,1.1808381854104584
Texas,10.101029567999483,2.259687351306009
United States,12.013137373075695,0.0
Utah,10.782562979618012,0.7857357255470847
Vermont,13.564982856076568,0.7289907243987964
Virginia,10.525125750401095,11.166113916377721
Washington,13.066138048527192,1.7088273743852729
West Virginia,10.45852081248554,0.43356143954999427
Wisconsin,10.959517622556193,0.834606127703617
Wyoming,17.336103613325776,0.29763867435688074
