State,Total Funding Received,"Agriculture, Forestry, Fishing and Hunting (State as % of US)","Agriculture, Forestry, Fishing and Hunting (as % of Total Funding Received by State)","Mining, Quarrying, and Oil and Gas Extraction (State as % of US)","Mining, Quarrying, and Oil and Gas Extraction (as % of Total Funding Received by State)",Utilities (State as % of US),Utilities (as % of Total Funding Received by State),Construction (State as % of US),Construction (as % of Total Funding Received by State),Manufacturing (State as % of US),Manufacturing (as % of Total Funding Received by State),Wholesale Trade (State as % of US),Wholesale Trade (as % of Total Funding Received by State),Retail Trade (State as % of US),Retail Trade (as % of Total Funding Received by State),Transportation and Warehousing (State as % of US),Transportation and Warehousing (as % of Total Funding Received by State),Information (State as % of US),Information (as % of Total Funding Received by State),Finance and Insurance (State as % of US),Finance and Insurance (as % of Total Funding Received by State),Real Estate and Rental and Leasing (State as % of US),Real Estate and Rental and Leasing (as % of Total Funding Received by State),"Professional, Scientific, and Technical Services (State as % of US)","Professional, Scientific, and Technical Services (as % of Total Funding Received by State)",Administrative and Support and Waste Management and Remediation Services (State as % of US),Administrative and Support and Waste Management and Remediation Services (as % of Total Funding Received by State),Educational Services (State as % of US),Educational Services (as % of Total Funding Received by State),Health Care and Social Assistance (State as % of US),Health Care and Social Assistance (as % of Total Funding Received by State),"Arts, Entertainment, and Recreation (State as % of US)","Arts, Entertainment, and Recreation (as % of Total Funding Received by State)",Accommodation and Food Services (State as % of US),Accommodation and Food Services (as % of Total Funding Received by State),Other Services (except Public Administration) (State as % of US),Other Services (except Public Administration) (as % of Total Funding Received by State),Public Administration (not covered in economic census) (State as % of US),Public Administration (not covered in economic census) (as % of Total Funding Received by State)
Alaska,3928810.0,0.41432975684525886,0.04843705854953535,0.574653297673506,0.028329188736538547,8.131587610168754,3.332332182009311,3.0136947872084936,20.234142144822478,0.18355521824342508,8.388392413987951,0.5592383922389178,0.9384521012723955,0.1003729118174848,0.037186832654162456,1.2294671316078138,5.000165444498461,0.3533747613385192,1.1115324996627478,0.01752706163335796,0.07445002430761477,0.35107626961200383,0.09812131408747178,0.49445068770038286,17.573209190569155,3.300648744886952,39.416846322423325,2.221607564273022,2.4246273044509663,0.05371898598012607,0.12423609184460435,0.7650513546448238,0.021253254802344728,1.260235325654779,0.3924852563498871,0.39187427937026437,0.29594202824773913,2.1658239289558923,0.4598593467233081
Alabama,11684439.0,0.3474883299658608,0.013659192366873582,0.37277599363905783,0.006179158451680907,0.9206660745451949,0.12686103286601952,7.943458037548688,17.93280789946355,1.8638197662465255,28.639740427418037,0.394121247191105,0.22238123713085411,0.16062413951353832,0.020009518642700775,4.885674708633119,6.681056745642645,0.493729357981904,0.5221902395142806,0.3661268351657452,0.5229262611581095,0.12467533413718113,0.011716437562813244,3.3779626467140673,40.36789442779409,0.6541521422609868,2.6267243125664823,1.3945013352873858,0.5117404438501498,1.5270345391838787,1.1874682216236483,0.2116489376322806,0.0019769883688895975,1.8699211576511894,0.19581599082335063,1.4085499168695357,0.3576722853360782,0.7168665021949542,0.051179179419739367
Arkansas,491985.0,1.5199348568243574,1.418945699564011,0.51631024049731,0.20325822941756355,0.3845269963913716,1.2583716983241358,0.35171354013348477,18.857485492443875,0.11000424952241189,40.14492311757472,0.13095916133959362,1.7549315527912435,0.06506033366951275,0.19248554325843267,0.07534630102483862,2.4470258239580476,0.06042247178646034,1.517729199060947,0.0,0.0,0.025408632742347358,0.05670904600750023,0.0387278573831702,10.991595272213583,0.16216650667627652,15.46510564346474,0.05615879879874276,0.489445816437493,0.22068697129143372,4.075734016280984,0.033900479187854465,0.0075205544884498505,0.16100282694811377,0.4004187119526002,0.06683466895942498,0.40306106893502847,0.1859297566729722,0.3152535138266411
Arizona,12864054.0,1.8001463108757751,0.0642721182606976,1.6444481159839324,0.024758913480929106,2.85622007043347,0.35747673322888723,1.4581273953177776,2.989951690190355,4.354210998896644,60.77215627359773,0.3051770125263636,0.1564048160867484,0.30895070803780234,0.0349578756432459,1.276068058381711,1.5849824635375442,2.73879600921995,2.631052388306206,0.1269798164350388,0.16473034083967622,1.7603902183138866,0.1502636727115729,1.3391988093846185,14.536381765810374,0.32955910322940596,1.2019850041052378,2.898405048134947,0.9660951361056165,19.427838320930054,13.722322683036001,1.392668334203751,0.011815870797806041,1.6493391119999412,0.15687900563850246,1.8532380773590227,0.4274391261106335,0.7105130030952329,0.04607412251223448
California,60323115.0,19.29605308994635,0.14691880550266675,20.511973234477132,0.06585866794179975,9.030763401924188,0.24103198251615487,12.565244480450492,5.494570364942195,15.27497954522591,45.46423705075575,3.1277913572110587,0.3418457418851795,4.658306150434331,0.11240301499682169,9.700146255312621,2.5693484164403646,5.9234575863298105,1.213498341390361,21.364499425022494,5.910520370176507,6.595862491029569,0.12006342842208993,12.323367217648267,28.52559752592352,6.984767162883047,5.43265048563888,11.216740546116332,0.7972996752571548,17.014897251020862,2.5628699711545067,4.392402627745252,0.007947202328659586,5.5004123143461685,0.11156917211586305,11.61109974543507,0.5710978287510518,22.465852939272537,0.3106719538604729
Colorado,10963096.0,3.310065839894099,0.13867433068177093,0.6665565204820273,0.011775870611732306,1.843381800339124,0.2707173229168111,2.534425570123304,6.098076674691163,0.9615033192647618,15.746737965260907,0.30102102338957315,0.1810255059337253,0.1351358778542044,0.0179420120009895,9.469188156905808,13.800919010469306,4.218406156019771,4.7551348633634145,0.013530292365170008,0.02059637168186797,0.42502540863274235,0.04257009151429487,3.036499062995973,38.6748870939377,3.3781044268668508,14.457175235900516,2.513665968490902,0.9831346911492884,3.4793086154093698,2.883637979636409,1.3706788341900076,0.013645780352557342,1.4487802605630522,0.161697024271246,6.268404390528823,1.6964642104748513,0.5938723498116727,0.04518796515144992
Connecticut,13640654.0,0.10102417613042569,0.0034015964337193805,0.02478289154387088,0.0003518892862468325,0.6615404681900338,0.07808276641281275,0.4734234996702781,0.9155059574123058,6.080486326533106,80.0343004081769,0.17828283326217087,0.08616888896969309,0.10717436169423429,0.011436401803022056,3.654592879320811,4.280872456701856,0.06730870768980542,0.06097948089585734,0.03111727557676167,0.038070022155829185,1.94726661396728,0.15675201496937022,1.3042701879690077,13.35123667824138,0.13436294124253015,0.46215526029763676,0.17488988047831064,0.05497536994927076,0.3323841621769693,0.2214043402904289,0.6752608962553714,0.005402966749248239,0.6618278642770687,0.059366655000559355,0.7384169249783369,0.1606154660912886,0.3094034184222703,0.01892138016256405
Delaware,394672.0,0.10886225876123458,0.12668747719625412,0.11255563242841357,0.05523574005756678,0.15179841369415478,0.6192483885352901,0.06989461217816094,4.671474034134674,0.04847144570793168,22.050715530871205,0.023585996743463986,0.39399805408035027,0.012778481586620243,0.04712774151700652,0.24903895758620967,10.082296185186687,0.014015229829134765,0.4388454210078242,0.8843286437308038,37.393329144200756,0.05491543205604106,0.15278509749868244,0.023485079186461904,8.30892487939352,0.08646706370882767,10.279168524749666,0.22612778785407386,2.45672355778976,0.030276773290581194,0.69703449953379,0.2143976251339985,0.059289739327846924,0.2726423506085825,0.8452588478534074,0.1678787120962662,1.2620606478290834,0.028291052594984812,0.05979648923663194
Florida,17083445.0,3.5920190900856963,0.09657302727874853,0.21375243956588633,0.0024233987933932532,5.643062551629472,0.5318306699848889,6.523775143076967,10.073260984537955,4.079879035482616,42.87902118103228,1.621912680241381,0.625933469508053,0.5936497816665889,0.05058113278674179,4.8309690007455774,4.51842705028172,1.007696643101606,0.7289571863286357,0.5687756205943034,0.5556256363982792,6.691759588799073,0.430118164105659,3.0313491467202485,24.777051701223026,2.8574221868359952,7.847702849161864,6.372367818676112,1.5994256427787252,5.536434316185703,2.9446636787837583,11.016739506885461,0.07038393017333447,4.344134143959411,0.31114333203870764,7.744732683231644,1.3450916954981855,12.528860469967128,0.6117852693060445
Georgia,9908169.0,0.6912753431338396,0.03204426569631584,18.96510775394719,0.3707243992305743,4.1360098880145095,0.6720817943254702,3.0083873913713495,8.009158907160344,3.031430882000858,54.932238236953765,0.6699636502628966,0.4457937687578805,1.613317651067759,0.2370064539674283,3.0777202195763573,4.963227817369688,1.1235488633462494,1.4013487254809642,0.20672944490627335,0.34819753276311693,6.977811615479049,0.773301303197392,1.4277894008377856,20.12147754040126,0.9540533985750551,4.517757014439297,1.34023159907282,0.5799961627622622,1.2981593020515898,1.1904621328118243,12.026424049183182,0.13247654536372966,6.465203366184993,0.7984018036026636,1.0000933595728783,0.2994801562226078,2.0765153095352833,0.17482543949341195
