State,Expenditure per Capita (in thousands),Funding received per Capita (in thousands)
Alabama,9.34677737803611,2.409080288100604
Alaska,20.37117148319148,5.975903285890769
Arizona,8.401670584955031,2.061635400762385
Arkansas,9.194205983287704,0.1908190287077606
California,14.402008207496312,1.5073128814898082
Colorado,10.551098050429419,1.7805662298551042
Connecticut,11.383654534654191,3.6949168899555236
Delaware,12.2236056717615,0.4389523989425803
Florida,8.222097493080442,0.9343962682906196
Georgia,7.993130280732607,0.6209001229189455
Hawaii,11.563352030856066,1.088825945372449
Idaho,7.1894646923590555,1.2642798728937976
Illinois,11.449117876268922,0.8937172903587851
Indiana,8.738286930630853,0.5909048305929497
Iowa,10.99020082924499,0.5779871438189653
Kansas,10.476236849638529,1.3697833821843002
Kentucky,10.077760612602209,1.2404309201305934
Louisiana,10.592180686421703,0.5713173895802457
Maine,9.521321020214469,1.8851242089902602
Maryland,11.32607633895739,5.184963995899121
Massachusetts,13.215303695659813,2.202457372023609
Michigan,9.88711012098945,0.6648119416611055
Minnesota,11.966490341547118,1.003857878659158
Mississippi,10.199300777229368,1.2862257909396182
Missouri,9.000738758586627,2.376556640866169
Montana,10.142246289189142,0.696477669648597
Nebraska,11.906536819732356,0.6703626683606179
Nevada,8.418405256159843,0.6987284128448404
New Hampshire,9.174937822954037,1.6567856100609937
New Jersey,11.80220584902774,0.9998923461446086
New Mexico,11.673951264848098,2.493836442227183
New York,17.248811087245677,0.5407473208314543
North Carolina,8.843447630298023,0.49585848401069255
North Dakota,14.227584454190845,0.5537889668857682
Ohio,11.006009895101215,0.5639863606323522
Oklahoma,8.811928283105342,1.1127476608510598
Oregon,12.504858174715874,0.43330396708651825
Pennsylvania,11.637310943913217,1.0177306401775816
Rhode Island,11.727373878114147,0.28451726900018315
South Carolina,9.786023797536314,1.141918936454916
South Dakota,9.04717614193218,0.4659847949140442
Tennessee,8.989364162050453,0.962737813036028
Texas,9.030044437844591,1.6675460384386875
United States,11.072146265289508,0.0
Utah,9.215372290251844,0.717819094795413
Vermont,12.37749442142174,1.0093595714407892
Virginia,9.684665170730442,9.84200169984327
Washington,11.911959473849443,1.6953646002522698
West Virginia,10.124169688725607,0.3698654498524046
Wisconsin,10.604900805517733,0.6418081943083533
Wyoming,17.963811267307747,0.23153334477504042
