State,Total Funding Received,"Agriculture, Forestry, Fishing and Hunting (State as % of US)","Mining, Quarrying, and Oil and Gas Extraction (State as % of US)",Utilities (State as % of US),Construction (State as % of US),Manufacturing (State as % of US),Wholesale Trade (State as % of US),Retail Trade (State as % of US),Transportation and Warehousing (State as % of US),Information (State as % of US),Finance and Insurance (State as % of US),Real Estate and Rental and Leasing (State as % of US),"Professional, Scientific, and Technical Services (State as % of US)",Administrative and Support and Waste Management and Remediation Services (State as % of US),Educational Services (State as % of US),Health Care and Social Assistance (State as % of US),"Arts, Entertainment, and Recreation (State as % of US)",Accommodation and Food Services (State as % of US),Other Services (except Public Administration) (State as % of US),Public Administration (not covered in economic census) (State as % of US)
Alaska,5078453.0,0.1501931664547464,20.319636393246036,7.260188432450711,4.4634582057103875,0.16358912576598586,0.028891363429539737,0.06646790515318925,1.3815643929088788,0.5369348183914001,0.00020392986782211006,0.4042426009244033,0.5362283227942792,2.783538794638003,3.201231282745741,0.17103028733030917,0.4604920364450578,0.8606720698974365,0.5646305796084283,2.1309056315150796
Alabama,15665904.0,0.42997670299179425,0.337180123028181,2.518673649641775,7.446312843277628,2.348701182509934,0.13798177345581644,0.1319725073331439,1.258019507207818,0.12961898542931616,0.14620279353080742,0.3485327282526045,4.082668526663817,0.5900292064631342,1.4315219761934541,1.243038033973773,0.10139274196955403,1.5883188699838389,1.3063274492048345,0.491612320847984
Arkansas,610401.0,0.9626016577326927,0.23576700150269078,0.2218225233102953,0.3084299805926167,0.12972798480310083,0.16756521583068418,0.022798170366552836,0.0811220623262414,0.030935570458775413,0.0,0.04091734436919382,0.03829358156374606,0.11817127655209794,0.055066352810280494,0.20509869466572286,0.03755286739613112,0.15255845519593425,0.08703868115226483,0.3220209347390725
Arizona,16125658.0,1.3689278134093728,0.585531234501188,2.257226995443225,1.2189570463370347,4.004173211311239,0.1744860052839641,0.614025370189305,2.4326775936249736,1.5437346918463828,0.00019895596860693666,1.6319359440271493,1.6709615526585504,0.28791133561701326,4.557886499644857,23.667267133498164,0.638398745734229,2.110795934531036,1.3526558282982817,0.783228425408168
California,63088466.0,17.74449362837188,26.211590705524422,9.681202084104811,10.3546886328254,12.372299198231868,2.011310446790918,8.079302311766586,8.55258909417846,6.521423183912117,22.002366481768597,7.827064098360798,11.323191919352924,4.159352396536963,9.67284851763365,11.14560755087439,6.49570723784578,6.00788028581185,9.755970659800251,6.139613574878313
Colorado,12450138.0,2.8173409714035627,0.7717020378855733,3.136996802062944,2.358790122168567,0.7893714220580547,0.22144180220172602,0.10861241023220418,8.112919702646526,5.382759122885413,0.000954988649313296,0.3392765848117932,2.599259471342619,3.797200682164456,1.6308581094291927,4.806771239343466,1.4326418911624021,2.2940799477594225,8.570888508569366,0.904036950652285
Connecticut,17237958.0,0.02060279637244492,0.42230792576855597,0.2561046574950288,0.35408138303815373,5.649474516753472,0.14485564230263345,0.09352066365152836,6.709138790646439,0.11870941260313332,0.024461636340222862,1.110304682830027,1.5463454334759972,0.17121678643366786,0.14327637348669128,0.3768459097598244,0.05539047940929339,0.45425349369555745,0.5344922254669923,0.4120192320685825
Delaware,401102.0,0.005973591847631959,0.15323004493267503,0.2640917205274781,0.06682516275770894,0.04124286534855882,0.0072961543049832375,0.001364679212082388,0.24249648264486776,0.022082843890567642,0.7094968796491968,0.1702438345001553,0.018221238342129565,0.05100456120683176,0.22724183724291644,0.01362162751205514,0.0952904010176827,0.2812350961439068,0.2329979830273188,0.015269981378730674
Florida,22473158.0,1.3388160340957995,0.2013457595250609,6.087957272324619,5.3826295060149105,4.712512918180583,1.7060332509915792,1.9434637485008597,7.907232023784279,0.9745910172174608,0.3991852554129577,11.378222457134108,2.834685923652726,2.532911342234424,8.696555271130105,6.156564596864349,15.974520379471723,4.524498820523532,7.7486289678014995,11.241544078895805
Georgia,8917930.0,0.390599760812506,5.504807870250423,5.142683176029683,1.3445322417028884,2.044493508815585,0.7588586984763354,1.2176149581685685,1.8608860526922086,1.073214158304984,0.05041046854578258,4.6413071404658695,1.1734389598997412,0.8667327386069265,2.5502788086883372,0.7030002471011025,11.135833415480231,5.1631769514115575,6.761286523035777,1.8115873483474636
