State,Total Funding Received,"Agriculture, Forestry, Fishing and Hunting (State as % of US)","Mining, Quarrying, and Oil and Gas Extraction (State as % of US)",Utilities (State as % of US),Construction (State as % of US),Manufacturing (State as % of US),Wholesale Trade (State as % of US),Retail Trade (State as % of US),Transportation and Warehousing (State as % of US),Information (State as % of US),Finance and Insurance (State as % of US),Real Estate and Rental and Leasing (State as % of US),"Professional, Scientific, and Technical Services (State as % of US)",Administrative and Support and Waste Management and Remediation Services (State as % of US),Educational Services (State as % of US),Health Care and Social Assistance (State as % of US),"Arts, Entertainment, and Recreation (State as % of US)",Accommodation and Food Services (State as % of US),Other Services (except Public Administration) (State as % of US),Public Administration (not covered in economic census) (State as % of US)
Alaska,5434282.0,0.8656645143591593,16.706151829754862,5.032427833165923,3.589765508114344,0.15029103390650794,0.20136074079167365,0.08515562256069209,0.9543808251189978,0.40362354000207457,0.0004002659813988951,1.1000514042712275,0.6436102573680075,3.0500725999776965,3.451113549099643,0.18501622577331817,0.36729129353898793,0.7353726467974547,0.9551295938944594,2.7853559874706932
Alabama,12180702.0,0.23602566512398204,0.23773789293939132,1.2188479580267224,4.062597106780738,1.4241631070012744,0.06948475962770095,0.16670071717413665,0.38512821838033756,0.2794684915704175,0.09198205337658565,3.4187475011812594,3.1371765271206122,0.5867784430648615,2.2747096071691275,1.7427539658402622,0.18605148493677992,1.0174849153898289,2.712570165462569,0.7374411511343338
Arkansas,732996.0,1.3031705470857486,0.039278434485638565,0.1838149845086107,0.26847833628451834,0.12986376292852636,0.0077318114575291455,0.019373564594986827,0.04945949237717414,0.016836182128129817,1.8617022390646288e-05,0.04299266320856115,0.04302617093379294,0.29665080346660216,0.0512222639764996,0.13018946360035952,0.016573551819080972,0.10834454505702362,0.06936429044753872,0.3473132035532812
Arizona,23575622.0,3.0717881763639046,1.6009062981936055,1.6235137664185484,1.4110584002485933,3.3545057933420575,0.2861060363543102,0.3717963169092472,1.219834368355232,1.571884735102759,16.928281598101957,1.96374700790795,1.299412301559233,0.5030890867922267,5.085296204795649,42.553533485600916,0.5496003635488786,2.945722271218705,1.2826434601312915,0.24113263836440826
California,57859429.0,12.26195495902826,18.91359984784775,9.884021738471395,14.020816741375072,8.925974495767464,2.087937242641651,13.777334338410382,8.674030544016324,7.280415375168168,15.994945106080491,7.633897741846711,10.330773267553882,2.496174684353554,7.738367313579284,6.944526656238809,21.442968269667727,7.508821046112593,11.731914300803185,3.161611957986748
Colorado,14074552.0,3.349979425227211,0.4022938605739613,4.874482357197282,1.4354850227668117,0.8677205575883615,0.10818008244751144,0.06578205796570527,4.853681133911369,4.615162821989456,0.009992686768179394,0.44934602343827074,3.2983823551706646,4.193050028355909,2.4653714576312526,4.413633731828075,2.154561736480526,2.5034777054062785,5.281194199354931,1.6454562424753085
Connecticut,19727600.0,0.019101517452995535,0.03597077684474269,0.1415244012118248,0.164193496124586,6.628651481228748,0.0863482320843194,0.13429402730615866,2.914393381488045,0.21004788471703992,0.022573139648658622,1.3933153678001569,1.425998141107959,0.13925725857023669,0.3583612508005506,0.29604750639721156,0.2838889037397418,0.461723746262852,0.45758184271177027,0.5117218206199233
Delaware,1035408.0,0.021641612858978983,0.2877662147579415,0.07023167357530756,0.053999212443249046,0.27526741346583894,0.004438901136967952,0.0012328632014991616,0.4042314840143606,0.020738563814353662,0.7503171991546196,0.08484300927873058,0.02481490569827289,0.044211924850278264,0.22130007251982836,0.013153887098372707,0.053463070384132165,0.215748715885406,0.20642431452772692,0.007535394948887758
Florida,23899859.0,2.735276336979217,1.9672293819228241,5.06835209209545,3.862361079639185,4.914147396811282,3.596982301549931,1.4431544390120188,8.766489114227232,0.7076992777493543,0.39172542237718616,6.992019357083146,2.5574454816122425,2.849159152832738,9.510778729765693,2.556820823419725,15.281884038600339,5.750119729790183,5.623407256580073,17.540001815345146
Georgia,8845570.0,0.6465050827309073,8.044223382658778,3.139355808816248,0.9155600953039623,1.7103432316690117,0.4696676539595143,4.4531018838149725,3.0837437541175494,1.1089571252266195,0.11191623010137015,1.4627890192168898,1.2370608571770276,0.9438431978129969,2.5115341986991404,0.379047400032159,6.178192413590312,7.361786818505759,3.685497698715847,0.7186026637621145
Hawaii,1992609.0,0.046331340205138107,0.011990258948247562,1.8331477330832613,1.8674556565691607,0.08398866081163577,0.0018132766082385424,0.016379468248488863,0.19255123983848862,0.1096373797751352,0.0,0.2020862864827536,0.25926304618506046,0.5807676784453073,0.40017799142129784,0.20050606178743635,1.943382608463204,1.5829185051542582,0.2445892410397175,0.1481390143360889
