State,Year,Total Funding Received,"Agriculture, Forestry, Fishing and Hunting","Mining, Quarrying, and Oil and Gas Extraction",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (except Public Administration),Public Administration (not covered in economic census)
Alaska,2020,5434282.0,0.15678244154425552,0.7435388888541301,1.8328088236863673,28.638907587055655,6.749097672884845,0.5108678570600494,0.01779443908137266,3.4116374527490474,1.1020039077839539,0.0015825457714561005,0.1949291553143543,22.240987861873933,29.684436692832648,2.9371313450424545,0.6004841117925055,0.012641964476631871,0.20146175704536498,0.6636203273955971,0.2992851677553723
Alabama,2020,12180702.0,0.019071150414811888,0.004720581785844526,0.1980427729042218,14.459856254590253,28.53265764157107,0.07864899740589665,0.015540976209745547,0.6142092631442753,0.3404155195652927,0.1622484484063398,0.27027177908136985,48.36597266725678,2.5477841917485544,0.8636940629530219,2.523467038270865,0.002856978193867644,0.12436064850777895,0.8408300276946272,0.03535100029538527
Arkansas,2020,732996.0,1.749804910258719,0.012960507287897887,0.496319215930237,15.879622808310003,43.23557018046483,0.1454305344094647,0.030013806350921424,1.3107847791802412,0.34079312847546234,0.0005457055700167532,0.056480526496733956,11.02311608794591,21.404482425552118,0.3231941238424221,3.1326228246811714,0.004229218167629837,0.2200557711092557,0.3573007219684691,0.27667272399849385
Arizona,2020,23575622.0,0.12823839812158508,0.016423744832692006,0.136293328761379,2.59486260850297,34.72323657038614,0.1673169004830498,0.01790832920548183,1.0051272454232596,0.9892506759736815,15.427639618585673,0.08020997282701597,10.3503992386712,1.1286064902126443,0.9976067651576701,31.83510916488227,0.004360436386365543,0.18601842191056506,0.20541981882810983,0.005972270848251639
California,2020,57859429.0,0.2085813878322235,0.07906230806391124,0.33809701094699707,10.50586240662693,37.64751463413163,0.4975299704392175,0.27039845139156143,2.9122599879096627,1.8669420329053024,5.939616168697413,0.12705102914168062,33.52987807743488,2.2817162609745076,0.6185595091164829,2.1169099335563786,0.06931973006508585,0.19320792121885613,0.7655865390583098,0.03190664048896853
Colorado,2020,14074552.0,0.23425967661350783,0.006913186295379065,0.6854498814598148,4.421774845835235,15.04527462046394,0.10597140143430497,0.005307451349073135,6.699154616075879,4.865206366781692,0.015254481989906322,0.030743429702060857,44.008818184763534,15.756373630933332,0.8101288055207725,5.53089718237568,0.02863323820182696,0.26481127072463834,1.416762679195757,0.0682650502836609
Connecticut,2020,19727600.0,0.0009529795819055536,0.00044100650864778283,0.014198381962326893,0.3608396358401427,81.99846914982055,0.06034692512013626,0.007730286502159411,2.8698371824246234,0.15797664186216265,0.02458484559703157,0.06801131409801496,13.574317200267647,0.37333988929215917,0.08401427441756727,0.26467994079360896,0.0026916604148502607,0.03484458322350412,0.08757780976905452,0.015146292503903161
Delaware,2020,1035408.0,0.020571600760280005,0.06721987854063326,0.13424659651074747,2.2610410582108695,64.87809636394543,0.05910713457883269,0.0013521239936334275,7.584063480289896,0.29717753774357547,15.569804366974177,0.07890609305703646,4.500641293094123,2.2583368102236028,0.9884992196312951,0.22406626180211087,0.009658028525953054,0.3102158762536121,0.7527467433127811,0.004249532551419344
Florida,2020,23899859.0,0.11264083189779489,0.01990806724006196,0.41971377320677916,7.006321669094366,50.177342050427995,2.075003873453814,0.06856944218792253,7.125472999652424,0.43934150406494027,0.352156889293782,0.28171714318481966,20.094829848159353,6.304957698704415,1.8404627408052912,1.886856319947327,0.11959903194407968,0.3581862135672014,0.8883901783688346,0.4285297247987948
Georgia,2020,8845570.0,0.07193431288204152,0.21995190813028442,0.7024194031588693,4.4873874719209725,47.185902095625266,0.7320500544340274,0.5716759914850033,6.772293927920982,1.8601062452730577,0.27184228941718847,0.15924355355279535,26.262648987007054,5.643322024471006,1.3131657993775416,0.7557907517548332,0.13064166582820552,1.239038298266816,1.5731490452282892,0.04743617426576241
