State,Total Funding Received,"Agriculture, Forestry, Fishing and Hunting (State as % of US)","Mining, Quarrying, and Oil and Gas Extraction (State as % of US)",Utilities (State as % of US),Construction (State as % of US),Manufacturing (State as % of US),Wholesale Trade (State as % of US),Retail Trade (State as % of US),Transportation and Warehousing (State as % of US),Information (State as % of US),Finance and Insurance (State as % of US),Real Estate and Rental and Leasing (State as % of US),"Professional, Scientific, and Technical Services (State as % of US)",Administrative and Support and Waste Management and Remediation Services (State as % of US),Educational Services (State as % of US),Health Care and Social Assistance (State as % of US),"Arts, Entertainment, and Recreation (State as % of US)",Accommodation and Food Services (State as % of US),Other Services (except Public Administration) (State as % of US),Public Administration (not covered in economic census) (State as % of US)
Alaska,4382596.0,0.4531531472942829,4.2079935837454885,10.024314691663768,3.183541077645635,0.1704102326812441,0.37246923557584216,0.04436269826887075,1.1942534192939172,0.2988224632162168,0.015641882464061594,0.5771433637238731,0.571796363248102,3.7717607581586274,3.9690470413086056,0.17705579911536654,0.7179810434555336,1.2117198020950666,0.5655418232641253,1.4407463218512984
Alabama,12104077.0,0.5687826386675945,0.6634585394109522,1.371499625201785,8.833259649886923,1.7874620622249704,0.2726540202236796,0.09421948301466265,2.8188144186870017,0.31053264465558755,0.4902578119968802,0.0890007001388411,3.437711060191309,0.682897974214773,1.3709397143158832,1.1461018764794622,0.17449860477987808,1.5662333886006408,1.3470479027711413,0.4524451169566876
Arkansas,574662.0,1.2031190047279325,0.14926703203671524,0.48976475094338934,0.4314634871210388,0.10281386354129704,0.1632320080806885,0.06724105837425881,0.18200852852546004,0.044253301490765354,0.0,0.019894274148682126,0.03331831030369551,0.23092151485519494,0.08265497282945035,0.18159247292296102,0.08993980951209575,0.12027615051701122,0.09860486617380003,0.24272967717328098
Arizona,14743800.0,1.897546287564952,0.5204295325936817,2.7303334455799693,1.4597230050401975,4.2831802120627405,0.22675620599072688,0.216155402286032,2.232830638917101,2.5706060089840377,0.023970862879508847,1.1575675375705112,1.3461890527689424,0.3683946419540819,4.212886203961984,24.47132956639978,0.7902403775934567,1.9098795329349585,1.848452633506866,0.6879216662185568
California,59596506.0,23.190671600538476,22.456445216771375,10.742124822724403,11.687127566075011,14.229643835108776,1.9089480927465226,4.139671158424034,7.746499886808973,5.873937184182958,19.945868782781048,4.813925712686195,11.529310514464235,6.514194707430114,14.289263967489976,22.015366234200318,3.323929370344462,5.010918842235579,11.772637048260966,12.47963184123153
Colorado,10280514.0,1.7717715764760968,0.2820478545648977,2.378431108678086,2.43892727861766,0.8586574147253975,0.259132901262178,0.131202065120505,10.546194050820569,4.556011767605566,0.04077193333953475,0.2034102276114376,2.7352878663959146,1.4392551023415714,1.7607886766882908,5.15466561038077,1.5843243367899944,0.5543129793973857,7.557735210452791,0.8147263507387561
Connecticut,13323656.0,0.0055928775354920105,0.0222786614980172,0.1650817157537646,0.24284149450769593,5.206630776831232,0.0646459853613898,0.13366210384151447,2.709879066178433,0.10001646770347818,0.05843166157434902,1.1415823137808685,1.6276841792391916,0.17930943413147013,0.2005536904186663,0.22972963037943267,0.5242645306602505,0.46384886618800975,0.7966786582979813,0.2638637912599809
Delaware,434544.0,0.011966156587564301,1.3309272378915473,0.04329513091144471,0.0635456862859551,0.04128818573070753,0.007816710432289148,0.010742169081741346,0.2716859913552005,0.031132556499538815,1.2325388363756056,0.25492592698591976,0.025080105420412665,0.09508971198880492,0.23388606806844467,0.028968365755608124,0.21062827184883962,0.39908478514038825,0.20721214509175526,0.0008753775065496996
Florida,20125238.0,1.3426808092763727,0.32214944526132866,2.9798132646294615,5.256957536450068,4.919241397025276,3.1470195539486676,1.1895107228987785,5.638652841799464,1.1147041067514496,0.5240388399533462,7.654758256647305,3.106459836941621,3.8721655669173476,7.739172047048534,4.453875027726608,26.040265360873878,4.041880772410796,6.345314376508387,11.455815320356903
Georgia,6651043.0,0.3868190183849591,12.501448112997371,5.186038142340506,1.4219084314360184,1.2905493759203894,3.629555232756575,2.889233476534921,2.754957282499258,1.2237515197987618,0.06661037687920832,4.73281291773613,1.1876554641099077,1.1577156137800648,2.1777697282805177,0.7147054398663887,12.724561255160008,9.001179264332908,0.9553993767415518,1.3947264757926856
Hawaii,1584539.0,0.0200303055922272,0.0222786614980172,1.6788889653438006,2.217863066294743,0.10219789369464946,0.013592722415843266,0.14891434391177316,0.13236083009101968,0.12254375188370746,0.0,0.20857575844302526,0.2056060819724131,0.6067242329905612,0.03146762924979074,0.870503425547355,1.9978937172815114,0.8005927161703132,0.3303837479716391,0.09404055498933915
Iowa,1843994.0,0.5093420564880632,0.029853406407343047,0.03288237790742637,0.23062277096302722,0.7079986749264751,0.020383116669236437,0.31111289691699745,0.029261201727550517,0.02821961756700824,0.014511316393923565,0.06045067162371481,0.1853603251199904,0.11286024796986817,0.31833586123288304,0.16739071143831746,4.410894247695773,0.040826336805530064,0.2565483701136017,0.25798625657314717
Idaho,2325127.0,3.8622071055558087,0.9802611059127568,0.10199626480544288,0.6523716271874958,0.1787536403413359,0.04431060432838108,0.044690703431672016,0.24654833433017778,0.013062319281978079,0.00039355148011133926,1.3338936305514624,0.8481030943178187,1.0938529683593197,0.0207220165948622,0.09674053435562108,0.03459223442772913,0.594698744223,0.08988654695761071,0.26911605629927904
Illinois,11450793.0,0.2164313539315978,0.9138706946486654,0.5097986441499509,5.607242640577489,2.5534625414879457,14.795099555056135,14.945555243039527,0.5018282332774572,0.6340107571746563,0.15347076628050918,2.492298821770339,1.9014167395001798,0.5896288516583266,0.4876083972417574,0.836899762640509,0.20217239232206136,0.30531638208164386,2.986497418634089,0.9789221601815784
Indiana,4009684.0,0.2762621368694193,0.0770841687831395,0.36493350148001147,0.30009226644974707,1.4780403816480392,0.4292746426868289,0.2605181005549027,0.19662536588889312,0.3408973204050037,1.6232639013115997,0.10624240440103228,0.324291878440316,0.11972354419313223,0.341808381717727,0.9267366629410951,0.8002336897614674,0.403196790286269,0.586796950345455,0.17557571702796831
Kansas,4024214.0,0.5141545325069748,0.2980884908434701,0.4227212359876923,0.6073881346032343,0.2836212424271615,0.07119770143364436,5.389534831278244,0.38770128843980484,0.03173350665180873,0.031126344336078655,0.11420011406050512,0.10281591541648082,6.7912618784730014,0.3654440676875698,0.29178164504813087,0.22907746354362848,0.38968591623551807,0.2941250017740766,0.1824536831508588
Kentucky,5589249.0,0.2659868502344456,3.048166466158713,2.855956307844822,0.9172678656692331,0.22276766964628847,0.08186661613053978,0.34407741577852435,1.3207289766386052,0.03336942651076573,22.16644365416127,0.27405235195693345,0.16759289609536554,2.281864400915957,2.0225061146265504,1.2605049551057574,0.04689169555758838,1.1927752069586877,0.26482739417548695,0.7305650561804778
Louisiana,2661053.0,0.6525457347805446,11.836207280666578,1.4336716767637894,2.2960483302366863,0.4271907660435668,0.11106889159284748,0.21672941132093418,1.424186456010972,0.04795081423320388,0.0028407261382582126,0.6350810744024912,0.09682072238542709,1.4225066108116657,0.30873240697294696,0.33794633563173543,0.0753341994203879,0.4830137473143466,0.265334273199684,0.1845795999524795
Massachusetts,15483163.0,0.9842163793271639,0.024060954417858573,2.98291882254294,2.0498876990749317,3.829761166744393,3.8764200755082294,3.02666763974865,0.806992562865063,1.2090449341279341,1.2008042761157185,0.5335853740088637,4.001126169330858,0.41232160027855486,1.6675978753989105,2.836057698600965,5.401000868649442,0.5586452705332243,7.775760774727418,3.785007284391394
Maryland,32028627.0,0.481377668810603,0.1581784966359221,3.043629435086837,7.1141064036134685,2.212925280652652,2.917602086238246,18.713104544265526,4.4222071545537585,11.397904369967616,3.3445364321338364,6.265439876362322,11.753878486492276,10.973507350641473,5.925541062575594,2.9867093388954506,3.566843727659182,22.915764106013366,8.6834797312595,5.140841988107371
Maine,2568182.0,0.16349411772356878,0.02495210087777926,0.029959499871210687,0.6544803367858943,0.9734725758289224,0.0036756439895344393,0.013940219419053657,0.0034628966861014634,0.0068358079820703185,2.3122008114315973,0.02631628545281811,0.056529477595959346,0.07269087448404798,0.007925180699947297,0.12401437175226604,0.02075534065663748,0.00983944088478602,0.04845763471323826,0.16156967692317312
Michigan,6699526.0,0.4121820676738182,0.22144989529029094,0.2706097915196347,1.157830705232607,2.5318879194618114,0.3524322022692567,1.7048068336595619,0.33677633717360683,0.3939311713428239,0.012844089214542801,0.9861277575383594,0.5814493249693024,0.5543182635245931,0.3041637733929773,0.567371130221725,5.886060866958267,0.1928970985397976,1.1186820064028957,0.7174343935822323
Minnesota,5728519.0,0.3981348403753731,0.14703916588691351,0.5175320922874382,1.8676438593422722,0.9909442722673303,0.2645031603377965,0.8480573484226641,0.19196229197295042,0.833526207728269,17.297625095704564,0.17164919344424331,0.23549621759251987,0.2821052215948354,0.13158130897412498,1.1644099553630747,0.2805814570249141,0.2726406269045559,1.3313684449559793,0.2699914338058288
Missouri,14627516.0,0.9768025649196512,1.3990999420754802,2.443586931568727,2.642761113827347,5.306192845533494,1.2055038233857835,0.3061108181842782,0.9071578129555719,0.09149466068309503,6.054460369365953,3.637859990380944,0.5795167299359085,2.2328574858889185,0.3155853573429014,2.487711083094112,3.317779639779532,3.552038159407754,0.8827805085415873,0.5732472128605461
Mississippi,3808885.0,0.851027853830796,1.2609722407877735,0.55437253420224,0.9453504670150129,1.0635579130399462,0.018187277402761316,0.2287836010538806,5.686351628585447,0.02913773585519839,0.0029695248044764692,2.07437945570662,0.09128543261361549,0.06783208913196112,1.7090885272986345,0.7214835533022412,0.23830205939102292,1.3564476974974042,0.4390924026944337,0.20646403761622198
