State,Year,"Agriculture, Forestry, Fishing and Hunting","Mining, Quarrying, and Oil and Gas Extraction",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (except Public Administration),Public Administration (not covered in economic census),Total Funding Received
Alaska,2019,3504,27888,113266,1365765,344236,5896,718,177387,45717,2,4695,944434,1666731,127770,35894,855,9155,26847,16525,4917285.0
Alabama,2019,2650,1778,28373,2098680,3533872,17407,3405,121716,70083,28932,2935,5931674,290872,89632,159208,353,25913,91360,4223,12503066.0
Arkansas,2019,12705,132,13633,124367,304632,6263,193,7020,4198,1,97,62362,123243,10484,20085,52,1649,2626,4479,698221.0
Arizona,2019,17689,1250,48612,446315,7847012,15346,7374,187007,270629,110921,15919,3273374,165008,202904,3713793,1780,34331,39803,5001,16404068.0
California,2019,51656,32377,258536,4492461,26084124,185050,115865,1494125,925448,2519119,91222,16494292,1645546,396271,1193549,8077,55426,423569,80049,56546762.0
Colorado,2019,12626,446,103254,773256,1970495,14331,735,1294844,597051,1478,23159,4673464,2081433,89409,404796,4292,33655,130971,5405,12215100.0
Connecticut,2019,96,1630,20187,155242,19930892,5158,1261,150388,26290,4158,20773,2248272,74305,11234,33054,100,7396,19794,2679,22712909.0
Delaware,2019,69,296,5076,27564,74957,930,125,31623,3790,128593,796,47111,22728,9894,1265,343,4076,6069,74,365379.0
Florida,2019,14842,464,143855,1620216,11199217,174542,21031,1659798,105319,81545,82836,4810990,1557044,455079,781832,44427,38650,217198,96569,23105454.0
Georgia,2019,5152,21714,85565,612382,3589051,44495,44334,451335,133127,3715,42422,2056971,467905,108456,58482,31166,96767,79055,11637,7943731.0
Hawaii,2019,46,141,30543,676175,243066,968,199,33045,8968,0,6766,425505,265182,25053,27723,2784,9020,9744,792,1765720.0
