State,Year,"Agriculture, Forestry, Fishing and Hunting","Mining, Quarrying, and Oil and Gas Extraction",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (except Public Administration),Public Administration (not covered in economic census),Total Funding Received
Iowa,2019,2107,641,4918,117820,1641405,1608,80,496,2981,2761,1038,303132,66785,9791,22101,6458,606,7910,1912,2194550.0
Idaho,2019,11258,606,3537,209212,405085,71,402,38180,1794,3,7225,1348074,627719,1563,12892,414,5305,3417,903,2677660.0
Illinois,2019,1835,1106,21062,1669072,4563806,1174224,256577,146324,48940,29438,36328,4302933,300085,24235,79989,394,2474,115415,5869,12780106.0
Indiana,2019,1275,204,13072,164619,3181077,30746,493,46362,33918,216576,2031,458059,56058,16109,96426,329,5118,20258,4589,4347319.0
Kansas,2019,9058,724,15919,192168,656139,3431,626,68877,6543,1819,1026,997470,330050,8175,27052,260,8232,9273,2258,2339100.0
Kentucky,2019,1490,9994,41022,427279,367353,6581,1287,450856,3275,4782283,3954,146958,1176638,59483,122789,71,21108,6279,5075,7633775.0
Louisiana,2019,16722,26475,38328,1087393,828482,5057,2547,242994,7142,13389,6048,195213,471281,9123,34739,126,3475,5351,1544,2995429.0
Massachusetts,2019,4428,69,53497,493677,8664813,341330,58701,67768,257576,101607,7895,6118293,277784,85737,383627,1474,4925,291267,31090,17245558.0
Maryland,2019,2216,324,79802,2348986,7396576,260356,157863,740773,1530633,589850,66531,20229824,3023662,282639,525677,7485,102820,327692,17148,37690857.0
Maine,2019,618,0,1377,256990,339023,86,105,929,961,188598,277,55537,29544,2623,23148,37,31,1610,1105,902599.0
Michigan,2019,2651,321,15609,408067,4866754,68024,3479,70956,53214,11656,6013,820435,204647,8717,56319,16221,1572,38523,4749,6657927.0
Minnesota,2019,6121,157,15528,314938,1838384,20156,18043,66111,121765,32285,2169,417337,245918,6614,93787,1605,3887,73589,3080,3281474.0
Missouri,2019,43112,2810,50602,1465750,11733158,133048,1516,132566,10887,647638,40784,963280,939242,445049,336916,107,43433,32732,4394,17027024.0
Mississippi,2019,4681,128,15100,268576,2767048,1064,1846,862654,3871,1841,26739,196464,24789,61738,11072,267,14082,17763,1429,4281152.0
Montana,2019,11892,1371,2000,960305,85830,1223,514,204526,2354,7794,630,127256,11242,4097,11005,88,13920,3654,995,1450696.0
North Carolina,2019,4256,1269,112182,661624,2007456,317719,24237,36244,93748,2969,15087,1302678,318662,106019,202483,1053,16828,72471,11482,5308467.0
North Dakota,2019,2968,134,43139,381244,41893,9877,166,1815,1709,182007,83,57597,34622,897,19733,55,1236,5177,685,785037.0
Nebraska,2019,3071,6004,7691,132221,200756,1190,706,5247,17058,160801,12666,397801,241509,10427,27739,261,1046,5737,414,1232345.0
New Hampshire,2019,41,9,3623,144401,1784048,3913,6982,1733,52014,19993,8578,589640,15741,11662,14744,169,894,13099,453,2671737.0
New Jersey,2019,221,1914,176507,925801,5849199,180289,12052,499009,171631,16519,39645,2392426,251349,171633,112044,27863,11726,49622,5350,10894800.0
New Mexico,2019,11885,470,13172,1834987,198184,5393,1393,23067,10994,166,2039,1100293,2294300,21174,16767,288,11361,5547,1168,5552648.0
Nevada,2019,8914,105,12284,106673,443170,7872,305,343400,13926,930,2253,1164939,234329,208040,21979,297,8720,14656,3523,2596315.0
New York,2019,2744,1192,68564,1121469,6039235,92250,40438,453854,160192,196090,12341,4131014,426867,201054,139778,8429,25592,99826,5250,13226179.0
Ohio,2019,5972,256,65586,445600,3384738,20833,18187,113600,230525,330,21889,2772910,1878392,51849,182971,1368,5210,109127,2177,9311520.0
Oklahoma,2019,16511,9152,26503,562820,1297259,5448,664,828147,32111,62177,7618,1121971,303961,55727,86060,1104,10705,20678,1705,4450321.0
Oregon,2019,110630,815,13758,178485,907972,8272,1047,212193,7036,438,2773,228330,187036,17318,41532,599,23421,10029,6809,1958493.0
Pennsylvania,2019,4256,30117,79544,768511,7674737,1698001,12983,173287,551726,789489,104061,1808929,526997,34192,101831,1552,14192,60928,7939,14443272.0
Rhode Island,2019,18,0,427,12307,281341,6316,323,624,9727,0,703,120324,12258,12374,10695,63,317,2010,1223,471050.0
South Carolina,2019,6543,115,50040,223612,715718,30050,71,76572,60874,205369,5204,2320518,3368387,23361,16617,284,32789,22389,407,7158920.0
South Dakota,2019,3138,164,11849,49894,293165,1592,1589,3976,2327,1032,389,141367,12436,2415,18429,150,4052,2288,1151,551403.0
Tennessee,2019,259,1546,24303,278504,863501,23873,2141,842654,21978,136397,13751,2160893,3206293,63262,154948,223,11109,13548,341337,8160520.0
Texas,2019,11252,9788,143389,2106982,49850214,34618,35694,2387478,362192,517431,66162,4758007,4061531,160220,1065516,28219,128774,122571,9517,65859555.0
Utah,2019,18920,983,2581,343529,966763,3056,5644,14604,25521,15097,52853,630291,183723,244315,40066,644,5786,15366,882,2570624.0
Virginia,2019,4515,12870,145720,3478878,12330975,2989288,316104,2211279,6476623,391431,154346,59392417,6707527,756265,471396,10824,71769,382104,74686,96379017.0
Vermont,2019,69,29,3624,5334,193755,2277,469,231,4472,1,18,206718,2184,44381,3322,120,591,851,357,468803.0
Washington,2019,20011,3807,31055,1148646,8208513,145720,16322,125370,60401,97441,17226,1994871,1151785,19361,55029,4046,22826,29199,15308,13166937.0
Wisconsin,2019,4086,569,30258,258633,3219833,32069,10010,10645,12301,294917,11292,348101,82124,36203,450467,49,88730,25300,3352,4918939.0
West Virginia,2019,688,510,22612,45904,351549,489,2568,434,7819,0,898,238843,36163,18184,33454,52,947,14609,1980,777703.0
Wyoming,2019,3632,145,3898,75300,18970,9,82,11506,3874,0,183,20144,21533,784,6322,883,3259,877,288,171689.0
United States,2019,485099,215009,2314582,38068634,231579431,8137805,1209496,17125629,12667253,12597027,1052366,167049736,41705150,4822996,11561142,218160,1048906,3099778,811016,0.0
