State,Year,"Agriculture, Forestry, Fishing and Hunting","Mining, Quarrying, and Oil and Gas Extraction",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (except Public Administration),Public Administration (not covered in economic census),Total Funding Received
Tennessee,2020,1767,855,6591,381096,905772,49433,5844,1697488,60179,130164,17046,2396132,3932454,104826,190529,217,9313,16170,172111,10077987.0
Texas,2020,12220,7666,71072,2570421,48694210,59622,35249,2789601,507309,530206,69013,5762520,4414072,157191,1670893,11121,146711,154034,7494,67670625.0
Utah,2020,23626,2075,583,350914,1483719,3006,1994,20992,18457,16066,5364,677658,167313,304290,35780,700,2828,14764,745,3130874.0
Virginia,2020,3785,27940,135484,3184195,13389619,3390020,282796,2402519,7841266,366727,129517,67507040,7812665,883934,627959,5586,69017,412284,72066,108544419.0
Vermont,2020,419,27,0,15140,524077,1909,196,125,3400,0,711,159515,1977,31233,7083,101,445,13810,409,760577.0
Washington,2020,38760,2441,17196,1418034,5293368,144490,26286,124029,88352,168209,12816,2600733,1214079,22809,65145,3877,66864,31175,8593,11347256.0
Wisconsin,2020,4961,1137,5832,198965,4910384,48736,14532,8439,11612,379050,5010,377547,156956,28733,516989,31,93651,31108,1328,6795001.0
West Virginia,2020,713,541,17828,34742,122163,995,395,2956,15823,0,838,260698,43049,6681,19691,12,504,15040,1988,544657.0
Wyoming,2020,6229,610,2130,56092,21547,37,44,18247,1359,0,361,25417,19139,754,3222,815,816,1083,989,158891.0
United States,2020,984215,241863,1979164,43354336,244036514,13787196,1135568,19425998,14837093,21485713,962955,187790357,52888446,4624942,17637372,187045,1488769,3775718,583911,0.0
