State,Year,Total Funding Received,"Agriculture, Forestry, Fishing and Hunting","Mining, Quarrying, and Oil and Gas Extraction",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (except Public Administration),Public Administration (not covered in economic census)
Alaska,2018,5078453.0,0.024259356146448537,1.0810378672402798,2.7564496511043814,28.570629677974768,7.4149745995483265,0.048499021257063915,0.016304177669853398,5.22377582307053,1.4033013596857153,0.0008073324691594073,0.09201621044833928,17.779686057939298,31.47468333368449,2.7919722797473954,0.35231201312683214,0.01931690615232631,0.23772987561369577,0.40173651306805436,0.31050794405304133
Alabama,2018,15665904.0,0.022513861951407338,0.005815176704772352,0.3099916864037977,15.451320268527112,34.51111407295742,0.07508663400465113,0.010494127884353178,1.541972936895311,0.10981811199660102,0.18763041060381833,0.025718273264026127,43.882810720658064,2.162786137333664,0.40473246867847523,0.8300701957576148,0.0013787905249515126,0.14221968933296159,0.3013040294387097,0.0232224070822852
Arkansas,2018,610401.0,1.293575862424865,0.10435762719916908,0.7006869254801351,16.425595633034675,48.922102028011096,2.340264842292198,0.046526791404339116,2.5519289778358814,0.6726725545993535,0.0,0.0774900434304662,10.563711396278839,11.117118091222,0.39957339519430674,3.515066325251761,0.013106138423757498,0.35058920283551304,0.5152350667839667,0.39039909829767644
Arizona,2018,16125658.0,0.06963436778827878,0.009810452385880936,0.2698928626664413,2.4572578681750534,57.158666021566376,0.09224429787609287,0.04743372332465441,2.896756212986782,1.270621018999659,0.00024805189344831696,0.11698747424756248,17.44836706818413,1.0252666898925922,1.2519055036389832,15.35382308120388,0.008433764377242777,0.18361421282778043,0.3030946086044985,0.035942719360661124
California,2018,63088466.0,0.23071412134192645,0.11225348227677623,0.2958781720893325,5.335398391205137,45.14265729650171,0.27178502010177263,0.15952995274920775,2.60310973482855,1.371997220537903,7.011685781042766,0.14341765735752715,30.22210272159732,3.785918649535717,0.6790940201335692,1.8481603277530951,0.021934278763411367,0.1335822620889213,0.5587645767135946,0.07201633338176269
Colorado,2018,12450138.0,0.1856204324803468,0.01674680232460074,0.4858179082031059,6.158783139592509,14.594657505001148,0.15162884138312363,0.010867349422150983,12.512608293980357,5.738410289106835,0.0015421515809704279,0.03150165885711468,35.15452599802508,17.513982575936108,0.5801863401032181,4.0389190866800035,0.024513784505842427,0.2584710306022311,2.487482468065816,0.05373434414943834
Connecticut,2018,17237958.0,0.000980394545572045,0.006619113470400612,0.028646084414406855,0.6677241004996067,75.44125586104803,0.07163841564064606,0.006758341098174158,7.473530217442229,0.09140293763333221,0.028530061391262233,0.07445777510306036,15.105199815430575,0.5703691817789556,0.036814105243788156,0.22869878207151914,0.0006845358365532623,0.03696493517387617,0.11203763229960301,0.01768770987839743
Delaware,2018,401102.0,0.012216343972356157,0.1032156409092949,1.2695025205558685,5.415829390030466,23.66904178986891,0.15507277450623533,0.004238323418980708,11.609017157730452,0.7307368200607327,35.56302386924025,0.4906482640325902,7.649425831833299,7.3021326246191745,2.509336777178872,0.35527122776750053,0.050610567885475514,0.9835403463458172,2.0989673449646222,0.028172385079107062
Florida,2018,22473158.0,0.048867186356274454,0.002420665578019787,0.5223253447512806,7.785923989854919,48.269758082063944,0.6471720618882313,0.10772851772768208,6.756242269110555,0.575597786479319,0.35711936880433093,0.5852804487913982,21.23961394299813,6.472192292689795,1.7139914203424371,2.8658945040122976,0.1514295409661606,0.2824124673532754,1.2458596161696545,0.3701704940622942
Georgia,2018,8917930.0,0.03592761997459051,0.16677637074971435,1.111883587334729,4.901025237919562,52.772582875173946,0.7254261919526168,0.17008431328794912,4.006826696329754,1.5972877113859383,0.11364744957630302,0.6016306474708817,22.15655426763834,5.581059730228876,1.266628017936898,0.8246644680996599,0.2660146468967574,0.8121391399125133,2.739514663156136,0.1503263649748316
Hawaii,2018,1867286.0,0.005141151382273524,0.00455206111972135,1.1179326573433315,39.291356546345874,14.488085917208181,0.12959985776147842,0.018743781081205557,1.6150712852771347,0.8674621884381932,0.0,0.19027615480435242,22.096079550749053,15.515030905817321,0.7434319113408444,2.6253610855541143,0.0560171286026886,0.7461095943524452,0.4682732050687468,0.021475017753038367
Iowa,2018,2275750.0,0.04486433044051412,0.0007030649236515435,0.12598044600681094,4.915302647478853,74.75474019553994,0.15326815335603647,0.01199604525980446,0.009139844007470064,0.16174887399758323,0.06116664835768428,0.05031308359881358,14.677446995495991,2.844424914863232,0.6061737888608151,0.8852905635504779,0.26307810611886195,0.019070636054048115,0.3173459299132154,0.09794573217620564
Idaho,2018,2992159.0,1.113978234445429,0.11192587024954222,0.053907563067336996,4.851079103750837,6.815446639032217,0.0070517642946113495,0.018314534755673077,1.5633527496366335,0.05885382427872316,0.001136303251264388,0.4340344212991355,59.951760584915434,24.070645978372138,0.04438266816703257,0.3836026093533131,0.0072522883977756535,0.328759267137876,0.12626334362578995,0.05825225196923024
Illinois,2018,12474246.0,0.016145264411171624,0.005451231280832526,0.06501394954051731,10.180006070106362,41.97419226781322,10.908314618775355,1.7066041506636955,0.9183400744221334,0.7035294958909741,0.23837112078758105,0.3241718978445671,28.982865978432688,2.2987922476436653,0.14517911543511328,0.7697539394364998,0.0029821441712789697,0.03390986517341409,0.6658198018541561,0.06055676631677778
Indiana,2018,4293450.0,0.022662427651422516,0.008314991440449988,0.13481000128102108,4.049657035717197,71.35264181485752,0.5825851005601556,0.020542920029347028,1.2801593124410438,1.358161851191932,4.796934865900384,0.08119344583027635,11.122058018609742,1.7334078654694944,0.38083592448962955,2.3898962372916883,0.004029393611198454,0.10024572313640547,0.5309250136836344,0.05093805680746254
Kansas,2018,2815390.0,0.269980357961064,0.050259466716866937,0.35863592610615225,7.282863120207147,19.435744248576572,0.1959941606669058,2.3187196090062123,2.260361797122246,0.10037685720273212,0.0697594294218563,0.31608409492112993,25.378970586668277,40.10744514969507,0.5430153548886655,0.8859518574691252,0.008560092917855075,0.22970174647206956,0.12907625586508442,0.05849988811496809
Kentucky,2018,11375794.0,0.02381372236522567,0.08118993715955124,0.4585701885951873,2.607343276434155,3.422257822179269,0.10723647070261645,0.013449610638167322,3.784280903820867,0.03472285099396139,75.2408930752438,0.04033125072412527,2.3427551518601692,9.766720459248821,0.7693001473127942,1.0133446509316186,0.0007208288054442617,0.14525579489220708,0.0976810937328858,0.05013276435912957
Louisiana,2018,3254622.0,0.09666253100974552,0.24227083821101192,0.5300461927683153,28.91423335797521,38.49221199881276,0.163644195854388,0.09497262662146326,8.919960597574772,0.23984352099875192,0.04937593367217453,0.28418046704041205,5.718513547809853,14.129935826648993,0.7183937182259568,0.9980882572538378,0.002703847021251623,0.11663412832580865,0.25268679434969715,0.035641619825589575
