State,Expenditure per Capita (in thousands),Funding received per Capita (in thousands)
Alabama,9.60103006236023,3.117992435249413
Alaska,22.445498774165575,6.9247414021145985
Arizona,8.775139281832487,2.2548615277870803
Arkansas,9.184602306781713,0.20268631985801355
California,15.318066823653908,1.595631419654565
Colorado,11.198920698272678,2.1563411401254613
Connecticut,11.548175761007803,4.780431299227774
Delaware,12.32441409071303,0.40517113369570595
Florida,8.710674453875635,1.043408031840691
Georgia,8.309612444509336,0.8325226333948753
Hawaii,12.216147760592,1.2831173257526252
Idaho,7.666941621191327,1.6269762469740503
Illinois,11.932354813192852,0.9735962683448136
Indiana,9.050817841368012,0.6327232632071006
Iowa,11.335848296060773,0.7133180707453551
Kansas,10.489069376315376,0.9583174345022052
Kentucky,10.245473871660955,2.524648055335535
Louisiana,10.697013299772058,0.6987542694979915
Maine,9.829059684763212,2.5723992744841415
Maryland,11.702136707929611,6.277273909771283
Massachusetts,13.667898870959093,2.583699255855199
Michigan,10.252587765106316,0.8226420205758969
Minnesota,12.717562977262435,0.6008976774571612
Mississippi,10.191761152579554,2.91303446338215
Missouri,9.200216249764416,2.649731271893055
Montana,10.224683337068816,0.8481382995894657
Nebraska,12.016226958193494,0.5885849984374116
Nevada,8.922025662366844,0.861766835533063
New Hampshire,9.421457287672466,1.907308652228138
New Jersey,11.807397025588568,1.1286096472280047
New Mexico,11.910564540617427,3.904532031941033
New York,18.189822896922614,0.6414462881715618
North Carolina,9.187130522843523,0.5641294616728487
North Dakota,13.002496499125263,0.5716212868586596
Ohio,11.15792990373896,0.9907516280100961
Oklahoma,8.884688279326939,1.1552021470212506
Oregon,13.248155956246574,0.4752897547041258
Pennsylvania,11.738400495466745,1.2544825920238498
Rhode Island,12.053777619419504,0.4116401836753477
South Carolina,10.139494950501414,2.1845113021983895
South Dakota,9.199908196558612,0.6315851206245341
Tennessee,9.083625075353224,1.270384873732163
Texas,9.61456105568256,1.9877460025634208
United States,11.520922434885408,0.0
Utah,9.894874517592845,0.8238600274971314
Vermont,12.844401595434507,0.9977545736566705
Virginia,10.042197635975876,10.881257049854346
Washington,12.483100671529414,1.5830840984072283
West Virginia,10.142189986926866,0.31121251229961727
Wisconsin,10.639342012055195,1.0704698641351607
Wyoming,17.581899219363528,0.2716798679696344
