State,Year,Total Funding Received,"Agriculture, Forestry, Fishing and Hunting","Mining, Quarrying, and Oil and Gas Extraction",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (except Public Administration),Public Administration (not covered in economic census)
Alaska,2016,1651266.0,0.6466011475692762,0.6712002607461095,7.694732348651911,1.4525611614125464,0.14550838991817092,0.6032924930371301,0.2624913998544207,1.0873699745476935,0.6140439546981883,0.0,0.43523923309995854,0.21447361775060966,0.9059847556078807,0.11552018614254568,0.19458273997260234,0.8077985969813841,1.529343636641699,0.5922142606770736,2.861527351507492
Alabama,2016,11045521.0,0.7489698118828033,25.036598368127105,1.0306313532635158,1.7180971294963703,1.973403620424386,0.40538230710748646,0.3882944955744565,6.807907102696828,1.8848489938091553,0.38709500613185893,0.31497185347374757,4.425034955064463,0.973647335963296,4.915968072535321,0.9975261857828828,0.5962322977719741,1.9533498639915183,0.8004013020675327,0.9410147502715988
Arkansas,2016,913225.0,1.27901726082259,1.313121826990537,0.265853176759341,0.553973803621343,0.11698049271942973,0.11210275393109595,0.05301345777370067,0.10567339629497384,0.3832622730771901,0.0026010456203393764,0.09868854114183731,0.25925967776702386,0.33877344684367566,0.3131219412195514,0.3953214834492848,0.3613835828600929,0.619384172839888,0.16536705960827447,0.244043037726108
Arizona,2016,12514298.0,3.0448176159212825,1.7605886674879432,2.450376175040421,1.7590752550266435,4.493741185386212,0.5281875539225964,0.6842724526119515,0.6793265454276922,1.6283733453481135,0.13216828316498383,1.7174973694604003,1.8384040270246038,0.6343983262791094,2.0478901051446607,14.290908516600286,0.7177057710022573,1.9423523367167912,2.329901680220531,5.492789565536879
California,2016,54651443.0,21.744948354654227,12.661654301482164,6.030988585964898,11.97289062308066,14.79374738935498,3.1531731407113766,5.219498981277441,9.75790574572825,7.000887187927257,21.53449322991479,8.159869497519919,12.991152922941223,4.900727633672643,13.598926033505768,15.469725547149396,3.403281808335105,15.34472952097177,12.15125192409733,30.37456884674224
Colorado,2016,10262409.0,5.054364144015925,0.45520083527143557,1.6498747283980784,1.9133980671105142,0.9707806883228531,0.3068256281113397,3.0107156982985837,12.568540738110933,4.757842096198249,0.02796275617949931,1.5277421704946008,3.379767970802609,1.394810793444311,2.586729536726384,13.93286889706897,1.0881998643546216,2.1725271458495503,1.4359765912280098,0.7094826794373549
Connecticut,2016,13321339.0,0.10662417460831573,0.026516553510957414,0.37896685901196037,0.44283096615511836,6.198988327215499,0.17938003036695643,0.11242509148560659,4.881692332940365,0.0694301207352587,0.0020917499743987994,0.5456080629626954,1.4424310979524182,0.09189375856060043,0.3966502421638307,0.38175291392811933,0.7511109761405853,0.35544351824644427,0.2742720313250581,0.35410787304060837
Delaware,2016,264177.0,0.08912929895196238,0.0,0.11935774963811427,0.2118565573988436,0.04130933897576044,0.026982781329477727,0.018197409486583774,0.46005914000861486,0.022473122554853755,0.0009943391182649364,0.09195752730267488,0.037795295287304714,0.033559718766152706,0.346587855258011,0.0650991606508256,0.1639891888608825,0.07509249092274409,0.143377375823019,0.00871016682344967
Florida,2016,16798585.0,2.3573162860743158,0.534198067606163,5.417028652464215,5.528755160226712,4.569550460883517,1.5862188139513012,0.85660773697348,5.273299001602925,5.208350866766501,0.5353849217082237,4.4199994258841135,3.410088582609588,2.680129500266803,5.297659651654229,4.772631930129591,10.2321155617642,3.238685864225216,7.953888908426686,1.1817320879378443
Georgia,2016,11297658.0,0.8340800177785764,13.255514614487982,3.737674721313464,3.8432462762051354,3.3637843841156765,0.7995465267832619,0.7906317409353634,1.9650011004632324,1.3713972832269439,0.22134352555181727,7.877958800256174,2.1513853038689628,2.1848232929878333,2.922890002781547,1.5128090408865844,14.181015720691995,6.821044455785645,2.3582293396486365,10.077029548053199
Hawaii,2016,2189217.0,0.10307791602932519,0.6386069970555577,1.145966482566744,3.85314360982742,0.19029033998324352,0.04634101298392064,0.18164172208982707,0.4987944248754545,0.4275989233645594,0.001546076068033895,0.41049285869127317,0.4049961525564038,0.568885790555267,1.1455660803034533,0.5549510349867351,2.274590786237056,0.9301502365327545,0.8496751980714004,0.6238063112285136
Iowa,2016,1752132.0,0.407346902106714,0.08507394251432171,0.14025135973573186,0.2785492917319512,0.6967488556324958,0.01651464960350779,0.34242705248498506,0.1725434466032014,0.01823325408903924,0.0016430847624987668,0.3133880855115917,0.27562605809662166,0.11005775610579512,0.6888355144865643,0.31752988860746245,0.1852470466761821,0.0962283636538597,0.36609538576050105,0.35553317306626375
Idaho,2016,2768337.0,6.051099221950867,0.2204188510598335,0.1753141996696648,0.5969955615381001,0.3096666696209375,4.825652484900111,0.4659035387729462,0.37099265697084965,0.01725972205933505,0.0010913478127298083,0.9904488893332237,0.8768218982615504,1.501336869718734,0.042091712436626995,0.21731614617119063,0.37555548807029265,0.43251212735136585,0.3260579298702995,0.20904400376279206
Illinois,2016,9255740.0,0.23239814554318045,0.7264430805606041,1.6224968944770621,2.47504098581662,2.1477270856873982,16.30228714616543,8.078320320939152,0.5994993594172471,1.8282658564939183,0.6055949643271746,2.0001009652075874,2.3946673907304428,0.4395026623885034,1.4749842292562514,1.3574679412283808,0.3087450777936368,7.693114001398749,2.2232381876945113,1.5242791941036922
