State,Year,"Agriculture, Forestry, Fishing and Hunting","Mining, Quarrying, and Oil and Gas Extraction",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (except Public Administration),Public Administration (not covered in economic census),Total Funding Received
Alaska,2018,1232,54900,139985,1450946,376566,2463,828,265287,71266,41,4673,902933,1598427,141789,17892,981,12073,20402,15769,5078453.0
Alabama,2018,3527,911,48563,2420589,5406478,11763,1644,241564,17204,29394,4029,6874639,338820,63405,130038,216,22280,47202,3638,15665904.0
Arkansas,2018,7896,637,4277,100262,298621,14285,284,15577,4106,0,473,64481,67859,2439,21456,80,2140,3145,2383,610401.0
Arizona,2018,11229,1582,43522,396249,9217211,14875,7649,467121,204896,40,18865,2813664,165331,201878,2475905,1360,29609,48876,5796,16125658.0
California,2018,145554,70819,186665,3366021,28479810,171465,100645,1642262,865572,4423565,90480,19066661,2388478,428430,1165976,13838,84275,352516,45434,63088466.0
Colorado,2018,23110,2085,60485,766777,1817055,18878,1353,1557837,714440,192,3922,4376787,2180515,72234,502851,3052,32180,309695,6690,12450138.0
Connecticut,2018,169,1141,4938,115102,13004532,12349,1165,1288284,15756,4918,12835,2603828,98320,6346,39423,118,6372,19313,3049,17237958.0
Delaware,2018,49,414,5092,21723,94937,622,17,46564,2931,142644,1968,30682,29289,10065,1425,203,3945,8419,113,401102.0
Florida,2018,10982,544,117383,1749743,10847739,145440,24210,1518341,129355,80256,131531,4773212,1454506,385188,644057,34031,63467,279984,83189,22473158.0
Georgia,2018,3204,14873,99157,437070,4706222,64693,15168,357326,142445,10135,53653,1975906,497715,112957,73543,23723,72426,244308,13406,8917930.0
Hawaii,2018,96,85,20875,733682,270534,2420,350,30158,16198,0,3553,412597,289710,13882,49023,1046,13932,8744,401,1867286.0
Iowa,2018,1021,16,2867,111860,1701231,3488,273,208,3681,1392,1145,334022,64732,13795,20147,5987,434,7222,2229,2275750.0
Idaho,2018,33332,3349,1613,145152,203929,211,548,46778,1761,34,12987,1793852,720232,1328,11478,217,9837,3778,1743,2992159.0
Illinois,2018,2014,680,8110,1269879,5235964,1360730,212886,114556,87760,29735,40438,3615394,286757,18110,96021,372,4230,83056,7554,12474246.0
Indiana,2018,973,357,5788,173870,3063490,25013,882,54963,58312,205954,3486,477520,74423,16351,102609,173,4304,22795,2187,4293450.0
Kansas,2018,7601,1415,10097,205041,547192,5518,65281,63638,2826,1964,8899,714517,1129181,15288,24943,241,6467,3634,1647,2815390.0
Kentucky,2018,2709,9236,52166,296606,389309,12199,1530,430492,3950,8559249,4588,266507,1111042,87514,115276,82,16524,11112,5703,11375794.0
Louisiana,2018,3146,7885,17251,941049,1252776,5326,3091,290311,7806,1607,9249,186116,459876,23381,32484,88,3796,8224,1160,3254622.0
Massachusetts,2018,8684,539,28714,612168,8945461,413580,41595,70936,204573,271367,10875,6304158,226403,115930,402911,5964,5188,457680,36548,18163274.0
Maryland,2018,3798,263,61456,2433261,5156896,270018,201578,820531,1593238,846768,92586,18609588,7277379,249056,484646,27658,304764,310989,31585,38776058.0
Maine,2018,1242,78,747,229104,2565541,134,48,433,992,594245,302,56735,29748,301,22126,29,22,1768,890,3504485.0
Michigan,2018,3614,1021,3385,427034,6393278,61980,5661,75063,44432,12093,15123,928646,193667,13618,42049,18249,2992,42671,5455,8290031.0
Minnesota,2018,3439,298,14763,313461,1747788,17201,11525,53538,93335,294647,2380,409122,287533,8317,101617,216,3345,62873,3627,3429025.0
Missouri,2018,48956,3351,43594,933704,10933503,159828,1741,43386,48537,818331,34276,846579,1957797,114557,236131,18542,43012,19651,3408,16308884.0
Mississippi,2018,5737,6586,4902,339883,6901535,621,5422,1021982,3929,1650,28285,139249,27031,63962,44186,123,19114,10587,1550,8626334.0
Montana,2018,35735,1600,2619,479586,103739,607,945,122971,3599,26232,889,85121,10514,3856,19716,200,13482,3462,4676,919549.0
North Carolina,2018,2987,2464,50467,1162070,1775075,485466,16850,34218,79774,19208,43442,1518050,278672,153545,172319,1273,15561,69409,8331,5889181.0
North Dakota,2018,912,52,15035,98173,59175,11064,210,8766,1188,153303,493,49147,17945,410,19065,23,1173,8689,522,445345.0
Nebraska,2018,2502,4268,3355,108616,230043,1947,96,4082,15149,202260,13626,344672,177156,8253,25941,19,1761,9498,1259,1154503.0
New Hampshire,2018,482,14,765,126883,1720223,3963,307,26323,47749,12210,10326,539754,93609,20231,12918,78,1086,9930,501,2627352.0
New Jersey,2018,624,4262,178415,544668,5949003,263323,14235,360337,192019,16542,42019,2302763,257549,185797,112094,6636,11430,37060,4914,10483690.0
New Mexico,2018,13434,2448,6512,282640,190591,2456,1314,43749,10611,89,1949,1052145,6603754,17616,18582,330,12200,5457,2075,8267952.0
Nevada,2018,8890,4,13209,133345,442748,10533,550,313059,11051,71,3862,1247547,254196,166381,26182,171,24935,14995,3733,2675462.0
New York,2018,2381,662,135782,921648,6362495,102400,64293,332903,172113,263780,10117,3706812,446603,192992,93422,5735,25328,107676,10862,12958004.0
Ohio,2018,4631,219,50704,464342,3602045,50122,16499,147910,197801,501,21424,2706788,4082229,46479,149274,2584,4530,139001,3166,11690249.0
Oklahoma,2018,18818,4720,30236,354697,1675308,6638,473,1062342,32385,16259,6533,901038,291086,34941,81033,747,26122,29310,1159,4573845.0
Oregon,2018,276007,361,5720,122517,715079,14182,1298,399795,7823,160,2355,165393,172115,19657,49777,1022,44715,11537,4428,2013941.0
Pennsylvania,2018,5300,18198,52461,622818,9411308,1663437,15677,224314,596731,1090396,53823,1795800,516098,48280,102783,1415,10268,47661,34879,16311647.0
Rhode Island,2018,642,4,29,60363,217782,4749,192,1027,8881,0,937,113594,13593,11930,14636,61,459,1724,1119,451722.0
South Carolina,2018,5880,1860,55810,244938,829964,23123,243,87650,63079,215397,14169,5226606,4274193,26885,11885,675,45840,19291,33778,11181266.0
South Dakota,2018,3811,218,3377,59929,309966,4172,2700,1629,1651,1563,327,117107,19766,3257,22216,153,5565,1945,660,560012.0
Tennessee,2018,2126,245,39252,375392,1000968,31798,1200,1216184,24124,132396,22282,2119725,3394320,25583,123897,213,10417,12530,246706,8779358.0
Texas,2018,10859,17178,114366,2019712,42506498,55628,35228,1967392,274612,574624,60548,4058347,4561164,197620,1234063,19759,131237,86028,8845,57933708.0
Utah,2018,28460,1851,1017,523280,933264,2810,5676,15957,22080,12512,100459,630775,146063,220676,27621,905,4344,16215,1387,2695352.0
Virginia,2018,3360,18711,119273,2384489,11063214,2851267,330508,2126276,7085918,325873,125581,57812569,7610968,762197,631174,9292,93957,501295,64386,93920308.0
Vermont,2018,315,38,245,11787,391035,2679,511,582,4512,0,112,201687,1592,14302,3418,82,667,7614,463,641641.0
Washington,2018,46861,5587,26105,1149874,6616914,114329,19318,163477,57591,268617,17594,2397048,1108511,22686,74597,4571,49802,43540,11032,12198054.0
Wisconsin,2018,3863,895,8411,184326,4435729,18171,10821,12212,11875,442737,10581,373417,81801,42343,544223,70,96894,27565,3121,6309055.0
West Virginia,2018,553,463,26528,41431,73138,5005,1131,706,7575,0,1538,296092,38756,22598,26805,356,860,12117,2587,558239.0
Wyoming,2018,7530,795,2030,39456,17215,70,65,10931,3555,0,402,46529,17252,566,5451,74,3380,1143,271,156715.0
United States,2018,820277,270182,1928118,32507216,230190117,8525039,1245714,19201928,13272747,20104951,1155989,168385921,57424276,4429202,10461305,213033,1402741,3613336,740014,0.0
