State,Expenditure per Capita (in thousands),Funding received per Capita (in thousands)
Alabama,9.411330128677188,2.1983953764422743
Alaska,21.597592237563713,2.2515892213837883
Arizona,7.844778450192386,1.7498826471120004
Arkansas,8.893308606351203,0.30324035257533066
California,13.911994475222661,1.3822425097522664
Colorado,10.019822357563122,1.7774304769548575
Connecticut,11.58446669413984,3.6942743394097852
Delaware,11.38322876650198,0.26685704530600823
Florida,7.789737836347339,0.7799428328034073
Georgia,7.659132890718084,1.054679279760514
Hawaii,11.237510075429146,1.5043342383181713
Idaho,6.783710657215626,1.5052737981569166
Illinois,10.941738585113262,0.7223966823140914
Indiana,8.501721864376506,0.6001563884351548
Iowa,10.841189052561896,0.5491936363533783
Kansas,9.807315697515902,0.3799677110482608
Kentucky,10.096529145277085,1.6082554556888058
Louisiana,10.040566591286908,0.644801383672671
Maine,9.223800795835992,1.4358372830297261
Maryland,10.91846776207976,4.9596971967779
Massachusetts,12.814101354078103,1.8521656415999603
Michigan,9.571967064672421,0.553420575400714
Minnesota,11.42238557968241,0.9385588794820787
Mississippi,10.014653421078936,1.881098359902853
Missouri,8.78921545690277,1.923820780773755
Montana,9.160022578922465,0.4642237526943904
Nebraska,11.623696589682634,0.5288936109251696
Nevada,7.835704420245414,0.8102887821520416
New Hampshire,8.893802476628254,1.1023086449687045
New Jersey,11.835317698907453,0.8051871072450937
New Mexico,11.811192017858568,4.334217226037731
New York,16.429102435841777,0.4528831660250391
North Carolina,8.666715104889986,0.4577086415003754
North Dakota,13.737669925592774,0.8242631476939151
Ohio,10.60250018348431,0.48493996376417936
Oklahoma,8.685947628724541,1.0009648058037868
Oregon,12.245608573968603,0.2936973174606134
Pennsylvania,11.060872793312214,1.212440980477192
Rhode Island,11.417767555366417,0.6749750084520185
South Carolina,9.266055463502571,1.0782138425677097
South Dakota,8.986755041576583,0.6248194099993571
Tennessee,8.358716938999413,1.2522150157738932
Texas,8.63262563857357,1.2244860840609375
United States,10.65871182435262,0.0
Utah,8.575643092369699,0.5850668813619211
Vermont,12.407398710901358,0.7455950613060481
Virginia,9.372662947216808,5.86532982427847
Washington,11.250054540756448,1.7409981795521934
West Virginia,10.239451318602596,0.8021836872928577
Wisconsin,10.087480328654628,0.5729152615705687
Wyoming,17.911477592456794,0.5415620010505567
