State,Year,Total Funding Received,"Agriculture, Forestry, Fishing and Hunting","Mining, Quarrying, and Oil and Gas Extraction",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (except Public Administration),Public Administration (not covered in economic census)
Alaska,2017,4382596.0,0.07949626203282256,0.21548871947129053,3.756244016103697,20.944298767214683,7.688684971190591,0.7121578169651046,0.012344281790975029,4.949669100231917,0.8169130807402735,0.049879112745048824,0.18865530840625055,18.24124331788739,36.96642355352855,3.885299945511747,0.4506005116602123,0.021311569672404208,0.3765348209143622,0.3818741220956711,0.26288072183701167
Alabama,2017,12104077.0,0.03612832271308254,0.012301640182890441,0.1860777984145342,21.041472224606633,29.20068172071278,0.18875458244358492,0.009492669288207602,4.230054055340196,0.3073757709902209,0.5660489436741025,0.010533640855060655,39.708380903393135,2.4233652842757034,0.4859106563846215,1.0560987012888303,0.0018754011561558969,0.17622161524583824,0.32933531404335914,0.02989075499106623
Arkansas,2017,574662.0,1.6096418416390854,0.058295136967469574,1.3996053332219636,21.648029624370498,35.37749146454786,2.380181741615071,0.14269257406962702,5.752946949685206,0.9226293020941005,0.0,0.04959437025590695,8.106156314494434,17.26023297172947,0.6170583751840212,3.5245065795197874,0.020359794105056537,0.2850371174707915,0.5077767452867946,0.337763763742861
Arizona,2017,14743800.0,0.0989500671468685,0.007921973982284078,0.30411427176168965,2.8546168558987506,57.44401036367829,0.1288745099635101,0.017878701555908247,2.750790162644637,2.088911949429591,0.022721415103297657,0.11247439601730898,12.765596386277622,1.073244346776272,1.2258576486387498,18.512330606763523,0.006972422306325371,0.1764131363691857,0.37101018733298063,0.0373105983532061
California,2017,59596506.0,0.2991752570192622,0.08456703820858223,0.29600560811400584,5.654234159297862,47.21294231577938,0.26840499676272966,0.08470798606884772,2.3609991498494893,1.1808712410086593,4.677279235128315,0.1157165153272576,27.047493354727877,4.694990004950961,1.0286290944640277,4.120197918985385,0.0072554589022383285,0.11450671285997874,0.5845745386482892,0.16744941389684825
Colorado,2017,10280514.0,0.1325031024713356,0.0061572796846539,0.3799323652494418,6.840231918365171,16.515545818039836,0.21121512017784325,0.015563424163422178,18.633397123918126,5.309627514733213,0.05542524430198724,0.028344886257632644,37.199122534145665,6.013366646842755,0.7347881633155696,5.592405204642492,0.02004763575050819,0.07343018063104627,2.175523519543867,0.06337231776543469
Connecticut,2017,13323656.0,0.0003227342405117634,0.000375272372688097,0.02034726804714862,0.5255164198175035,77.27183139522666,0.040657008857028436,0.012233879349631962,3.6943463565856103,0.08993777683842932,0.06128948390742001,0.12274408765882278,17.08013175963114,0.5780620574412909,0.06457686989216774,0.1923120801077422,0.005118715163465643,0.047411911565414175,0.1769484291698915,0.015836494127437695
Delaware,2017,434544.0,0.021171618984498694,0.6873872381162782,0.16361979454324532,4.216373946021577,18.787970838396113,0.15073272211789832,0.03014654442357966,11.356502448543761,0.8583710740454361,39.63948414890092,0.8404212231672741,8.06937847490703,9.39927832394418,2.309087227070216,0.7435380536838617,0.06305460436687654,1.250736404138591,1.4111344305754998,0.0016108840531683787
Florida,2017,20125238.0,0.05129380333290966,0.00359250409858507,0.24315240396163268,7.531478633942118,48.33313275599524,1.310314938884201,0.07207865069719921,5.089152237603352,0.6636095434001824,0.3639012865338537,0.5448879660454202,21.580882670803696,8.264329594512125,1.6497693095604633,2.4683683243895054,0.16832099078778598,0.2735122933701455,0.9330374130233888,0.45518467905820537
Georgia,2017,6651043.0,0.04471479134926657,0.4218436115959557,1.2804908944356546,6.164085843378249,38.36831306007193,4.5727865539284585,0.5297514991257762,7.52378236015013,2.204436206471677,0.1399630103128186,1.019404024301151,24.965783562066882,7.476646895832728,1.4047270480735128,1.1985338239431018,0.24887825864304292,1.8430793486074288,0.4250912225345709,0.1676879851776631
Hawaii,2017,1584539.0,0.009718915091392511,0.0031554919127897763,1.7400013505505387,40.35697448911008,12.753425444245927,0.07188210577335111,0.11460746627252469,1.5172867313458362,0.9265786452715901,0.0,0.18857219670831707,18.141680324687496,16.446865618328108,0.08519828164532398,6.1274604159317,0.16402246962681258,0.6880865665029388,0.6170248886269128,0.047458598368358244
Iowa,2017,1843994.0,0.21236511615547554,0.0036334174623127843,0.029284260144013488,3.606031256066994,75.92080017613941,0.0926250302332871,0.20574904256738363,0.28823304197302163,0.1833520065683511,0.10997866587418396,0.04696327645317718,14.05405874422585,2.628913109261744,0.7406206310866521,1.0124761794235775,0.3111723790858322,0.030151941926058325,0.4117150055802784,0.11187671977240707
Idaho,2017,2325127.0,1.2770915309142252,0.09461848750627386,0.07203907571500395,8.089751656576178,15.201836286792075,0.1596902018685431,0.02343957985950875,1.9260453299970282,0.06730815133969026,0.0023654621876568463,0.8218475807988121,50.99721434571101,20.207240292680787,0.03823447063321702,0.4640606728148613,0.0019353781535374197,0.34832505923332363,0.11440235307576746,0.0925540841425006
Illinois,2017,11450793.0,0.014531744657335087,0.01791142325252059,0.07311284030721715,14.118891154525281,44.09422998040397,10.826787280147322,1.5916801569987336,0.7960322049311344,0.6633689037955712,0.18730580493420848,0.31180373271964656,23.215937970409563,2.2117594825092026,0.18268603755215904,0.8151749839508933,0.002296784161586014,0.03631189560408611,0.7718155415087846,0.06836207763078068
Indiana,2017,4009684.0,0.05297175538022448,0.0043145544636435185,0.14946314971454108,2.1579007223511875,72.8893349201583,0.8971031133625493,0.07923317647974254,0.890718570341204,1.0186089477375275,5.657702701759041,0.037958103431592116,11.30759930208964,1.282520019033919,0.3657146049414368,2.5778590033528825,0.025962145645392502,0.13694345988362175,0.4330765217408654,0.03501522813269076
Kansas,2017,4024214.0,0.0982303625006026,0.0166243644100438,0.17250573652395226,4.351831189891989,13.93623698938476,0.14825255316938912,1.6332381926010893,1.7499566374949247,0.09447807696111589,0.10809564302494848,0.0406539016066243,3.5721012848720273,72.48767088430188,0.38959160720577984,0.8087045072652698,0.0074051727865367,0.13187668449043713,0.21629068434233367,0.03625552716629881
Kentucky,2017,5589249.0,0.03658809976080865,0.12239569215828458,0.8391288346609715,4.731834276841129,7.88109457996951,0.1227356304934706,0.07507269760212865,4.292115094532378,0.07153018231966406,55.42474489864381,0.07024199494422237,4.192244789952997,17.536023175922203,1.5524089193378217,2.5153826569544497,0.001091380970860307,0.2906293850927021,0.14021561751856107,0.10452209232403138
Louisiana,2017,2661053.0,0.18853438845449527,0.9982514440712005,0.8847625357330351,24.87793366009621,31.743599244359284,0.3497487648686441,0.09932158435025534,9.721302055990618,0.21589197960356293,0.014918906162334985,0.3418947311459035,5.086971210269017,22.961248798877737,0.497735295012914,1.4164693450299561,0.0036827526546821874,0.24719537716836154,0.29507116167923,0.0554667644725603
Massachusetts,2017,15483163.0,0.048872442923968445,0.00034876594659631236,0.3163823825919807,3.817307871783046,48.910245277402296,2.0979175895777886,0.23838798312722018,0.9467187034070493,0.9355711103732487,1.0838612239630883,0.049369757329300226,36.12992384049693,1.1438554254062947,0.4620632102109885,2.0429998702461507,0.045378324829364644,0.04913724669823601,1.486175660619216,0.1954833130672331
Maryland,2017,32028627.0,0.011555287711833543,0.0011083834470956247,0.15605726714417073,6.404258290559879,13.662062379383293,0.7633171412561643,0.7125032240688931,2.5079095647777843,4.263642022494439,1.4593476017563913,0.2802399241153859,51.308268693503464,14.716409791777837,0.7937055809479439,1.0400820490993885,0.0144870399845738,0.9743845716521036,0.8023103831456777,0.12835080317367334
Maine,2017,2568182.0,0.04894512927822094,0.002180530819077464,0.01915752076760915,7.347804789535944,74.95243717150886,0.011992919504926052,0.006619468557913731,0.0244920336642808,0.03189026322900791,12.58232477293276,0.014679644978432212,3.077468808674775,1.2157627457867082,0.013238937115827461,0.5385911123121336,0.0010513273591980631,0.005217698745649646,0.055837164188519355,0.05030796104014435
Michigan,2017,6699526.0,0.04730185389235,0.007418435274376128,0.06633305102480384,4.9829644664413575,74.72883902532807,0.44080730487500164,0.3103204614774239,0.9130795223423268,0.7044826753415092,0.02679294027667032,0.21086566422758865,12.13423158593608,3.553937995016364,0.19477497363246293,0.9445742877928976,0.11429166779858754,0.039211729307416676,0.49413943613324285,0.08563292388148057
