State,State Expenditure (in thousands),Utilities,Health and Social Services Expenditure,Education Related Expenditure,Public Administration Expenditure,Transportation Expenditure,State Total as % of US Total,Utilities (State as % of US),Utilities (% of Total Expenditure),Health and Social Services Expenditure (State as % of US),Health and Social Services Expenditure (% of Total Expenditure),Education Related Expenditure (State as % of US),Education Related Expenditure (% of Total Expenditure),Public Administration Expenditure (State as % of US),Public Administration Expenditure (% of Total Expenditure),Transportation Expenditure (State as % of US),Transportation Expenditure (% of Total Expenditure)
Pennsylvania,160250965,5124860,46595236,46414092,46414092,12347859,4.02463792807155,2.062518922115794,3.1980213036470637,4.334171670160906,29.076415234067387,4.199428242472761,28.96337753722731,4.199428242472761,28.96337753722731,5.079094054666599,7.705325830643204
Rhode Island,13673503,363466,3657397,3706052,3706052,697403,0.34340447674308927,0.14627824029256195,2.658177644748387,0.34020187093658,26.748061561108372,0.3353140989351394,27.103895761020418,0.3353140989351394,27.103895761020418,0.2868655554786178,5.100397462157283
South Carolina,53107706,3633150,16934179,16215356,16215356,2960116,1.333778475783113,1.4621746978229642,6.8410975989058915,1.5751747427405185,31.886481784771497,1.4671239059928212,30.532962579856115,1.4671239059928212,30.532962579856115,1.2175963117754645,5.573797520081173
South Dakota,8271415,365643,1543054,2594407,2594407,1063978,0.20773322973636968,0.14715438202003275,4.420561657225517,0.1435310024468696,18.655260315193953,0.23473530470592918,31.365939201454644,0.23473530470592918,31.365939201454644,0.43765031120747805,12.86331298816466
Tennessee,65801910,10395983,18285250,15599302,15599302,3504986,1.6525882557122236,4.18390193127112,15.798907660887046,1.700847969346259,27.78832711694843,1.4113849169269936,23.706457760876546,1.4113849169269936,23.706457760876546,1.4417198604462251,5.326571827474309
Texas,294398830,20454130,70722508,94704731,94704731,26539705,7.393707096852042,8.231840510846407,6.947761986689962,6.578429833820952,24.022686503203833,8.568641654288651,32.168854407471656,8.568641654288651,32.168854407471656,10.9166826312242,9.014881275173545
Utah,35276384,2484879,8087186,11386881,11386881,3050366,0.8859520628260577,1.0000487733651595,7.044029796251226,0.7522497032212025,22.92521251611276,1.0302558469758816,32.27904821537264,1.0302558469758816,32.27904821537264,1.254719203965411,8.647048404961234
Virginia,90846402,3519599,22666568,28987815,28987815,7142238,2.281570504851781,1.4164756765569841,3.8742304841087707,2.108387151110808,24.9504300676652,2.622743303877959,31.90859996854911,2.622743303877959,31.90859996854911,2.9378452218164997,7.861883181680657
Vermont,8723437,288677,2301041,3289254,3289254,723940,0.21908557875668766,0.11617912974786061,3.3092117246906234,0.2140370469221085,26.37768806033677,0.2976032827328929,37.70594090379743,0.2976032827328929,37.70594090379743,0.2977811254514113,8.298793239407816
Washington,100677821,10825100,24511998,29258842,29258842,6594212,2.528482601725352,4.356601660103043,10.752219200294373,2.2800444086309763,24.34696913037083,2.6472651331162145,29.061854646218453,2.6472651331162145,29.061854646218453,2.712423503087551,6.549815971881234
Wisconsin,64592383,2356859,17429775,20139409,20139409,5098508,1.6222114761450825,0.9485266493638669,3.648818777904509,1.62127383628401,26.984257571051373,1.822162177411768,31.179232077565555,1.822162177411768,31.179232077565555,2.0971896156629333,7.893357952128814
West Virginia,18760024,356794,5513846,5337661,5337661,1618313,0.471150386657157,0.14359306913698766,1.901884560488835,0.5128840881250184,29.39146559727216,0.48293790498250844,28.452314346719387,0.48293790498250844,28.452314346719387,0.6656671360508465,8.626390883082026
Wyoming,10000106,235333,2632168,2840926,2840926,812157,0.25114860239584746,0.09471063902199787,2.3533050549664174,0.24483764770939437,26.321400993149474,0.2570397128349548,28.408958865036034,0.2570397128349548,28.408958865036034,0.33406777564886847,8.12148391227053
United States,3981748616,248475781,1075066692,1105247889,1105247889,243111446,100.0,100.0,6.240368364832,100.0,26.9998635192594,100.0,27.757852029099567,100.0,27.757852029099567,100.0,6.105645269093502
