State,Year,"Agriculture, Forestry, Fishing and Hunting","Mining, Quarrying, and Oil and Gas Extraction",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (except Public Administration),Public Administration (not covered in economic census),Total Funding Received
Montana,2017,38947,972,3471,102000,65680,1810,950,382783,2169,46651,458,51239,14671,8082,9542,211,17893,3189,4401,755119.0
North Carolina,2017,3486,2832,26985,790874,1040945,1009499,5707,143610,59172,25,56923,1461001,203234,97213,157993,1128,33691,61654,20500,5176472.0
North Dakota,2017,672,335,6695,95416,62592,11591,107,4009,1051,198524,667,8663,13280,608,21133,97,1121,4503,388,431452.0
Nebraska,2017,2000,128,4016,333794,201412,2833,113,3691,14058,193858,13347,359207,147319,5637,21799,38,1295,7911,2453,1314909.0
New Hampshire,2017,160,2,5804,62832,1459971,4064,4296,15003,33462,12110,10177,549329,79164,16994,14236,582,172,10385,3509,2282252.0
New Jersey,2017,614,4271,112153,465852,4730307,261840,9212,494421,181848,17196,41171,2472080,242538,101710,99804,605,13931,34405,4073,9288031.0
New Mexico,2017,10959,2585,5415,213901,125619,7827,1677,42427,9023,20,801,912499,3894254,14216,20535,556,10048,6799,1605,5280766.0
Nevada,2017,4934,1164,4791,100288,322394,10281,457,331438,21781,9,8672,837329,233770,234385,15370,171,24032,15179,2844,2169289.0
New York,2017,2018,4946,73946,458787,5655264,94497,64209,286553,148114,362746,15590,2784438,451672,223514,164688,3583,29764,87079,12353,10923761.0
Ohio,2017,2519,415,38900,344981,2821832,48028,16458,32564,204552,10468,17436,2326978,516215,36259,116508,3496,4679,109431,2967,6654686.0
Oklahoma,2017,11029,3098,31169,330126,1851900,12390,874,818221,39838,7973,6552,907005,228645,29649,81256,2264,26727,14668,2369,4405753.0
Oregon,2017,273401,846,7692,133757,591743,9373,1811,389033,6727,807,3439,148698,164184,12766,34436,379,39590,14017,3336,1836035.0
Pennsylvania,2017,3899,18107,61780,680081,6864042,1627948,23020,119722,526904,830470,67985,1850079,310661,36524,110745,1614,7878,58033,33743,13233235.0
Rhode Island,2017,16,0,14,16867,137201,608,117,904,8665,45,518,111588,11508,12934,7456,122,270,2482,906,312221.0
South Carolina,2017,4672,7077,45674,1176531,773837,36755,8855,75833,60043,125210,4122,468330,2930094,33625,18170,147,37615,22314,15927,5844831.0
South Dakota,2017,3164,835,3352,45581,154430,2360,3977,952,4121,23625,480,122936,12594,1852,27368,156,2566,1770,1059,413178.0
Tennessee,2017,3995,3352,65939,333249,941865,27477,1915,833626,30376,131793,19176,1423026,2404628,20749,138909,170,13014,16943,243073,6653275.0
Texas,2017,8511,18076,98005,1148271,35481233,123350,47670,2598370,375702,432153,183463,3569787,3040012,197553,1026081,6867,130268,105780,10191,48601343.0
Utah,2017,21437,1167,1411,275954,780091,6121,4927,14005,29140,17952,140594,543656,195178,266939,31025,726,4644,12184,1276,2348427.0
Virginia,2017,3362,7497,101038,2067989,11874852,2028674,319975,1780146,6360367,323714,245647,51090002,6827646,703997,447207,8263,86452,597514,75754,84950096.0
Vermont,2017,379,90,10,10706,468595,2061,977,299,4241,0,85,128134,1538,27443,2370,44,801,810,521,649104.0
Washington,2017,42186,3253,16650,890855,8360619,157798,4749,201401,74285,146552,13727,1792347,1184732,18459,53144,3968,40533,49947,7998,13063203.0
Wisconsin,2017,4530,662,15620,155388,2536891,20115,20787,8714,15247,386136,11030,226426,68102,23497,208415,203,50851,26996,3031,3782641.0
West Virginia,2017,585,749,33599,37699,178938,1455,743,1297,10988,0,1321,283968,36218,20315,40583,89,1213,12069,1619,663448.0
Wyoming,2017,2937,809,1897,27224,11104,140,84,14372,4607,0,2392,46622,14717,353,3304,49,1819,910,217,133557.0
United States,2017,768835,224430,1642217,28832799,197736952,8379484,1219493,18163984,11981027,13975300,1432573,139812012,42953122,4290123,11153546,130087,1361866,2959286,799655,0.0
