State,Year,"Agriculture, Forestry, Fishing and Hunting","Mining, Quarrying, and Oil and Gas Extraction",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (except Public Administration),Public Administration (not covered in economic census),Total Funding Received
Alaska,2017,3484,9444,164621,917904,336964,31211,541,216924,35802,2186,8268,799440,1620089,170277,19748,934,16502,16736,11521,4382596.0
Alabama,2017,4373,1489,22523,2546876,3534473,22847,1149,512009,37205,68515,1275,4806333,293326,58815,127831,227,21330,39863,3618,12104077.0
Arkansas,2017,9250,335,8043,124403,203301,13678,820,33060,5302,0,285,46583,99188,3546,20254,117,1638,2918,1941,574662.0
Arizona,2017,14589,1168,44838,420879,8469430,19001,2636,405571,307985,3350,16583,1882134,158237,180738,2729421,1028,26010,54701,5501,14743800.0
California,2017,178298,50399,176409,3369726,28137264,159960,50483,1407073,703758,2787495,68963,16119361,2798050,613027,2455494,4324,68242,348386,99794,59596506.0
Colorado,2017,13622,633,39059,703211,1697883,21714,1600,1915609,545857,5698,2914,3824261,618205,75540,574928,2061,7549,223655,6515,10280514.0
Connecticut,2017,43,50,2711,70018,10295433,5417,1630,492222,11983,8166,16354,2275698,77019,8604,25623,682,6317,23576,2110,13323656.0
Delaware,2017,92,2987,711,18322,81642,655,131,49349,3730,172251,3652,35065,40844,10034,3231,274,5435,6132,7,434544.0
Florida,2017,10323,723,48935,1515728,9727158,263704,14506,1024204,133553,73236,109660,4343204,1663216,332020,496765,33875,55045,187776,91607,20125238.0
Georgia,2017,2974,28057,85166,409976,2551893,304138,35234,500410,146618,9309,67801,1660485,497275,93429,79715,16553,122584,28273,11153,6651043.0
Hawaii,2017,154,50,27571,639472,202083,1139,1816,24042,14682,0,2988,287462,260607,1350,97092,2599,10903,9777,752,1584539.0
Iowa,2017,3916,67,540,66495,1399975,1708,3794,5315,3381,2028,866,259156,48477,13657,18670,5738,556,7592,2063,1843994.0
Idaho,2017,29694,2200,1675,188097,353462,3713,545,44783,1565,55,19109,1185750,469844,889,10790,45,8099,2660,2152,2325127.0
Illinois,2017,1664,2051,8372,1616725,5049139,1239753,182260,91152,75961,21448,35704,2658409,253264,20919,93344,263,4158,88379,7828,11450793.0
Indiana,2017,2124,173,5993,86525,2922632,35971,3177,35715,40843,226856,1522,453399,51425,14664,103364,1041,5491,17365,1404,4009684.0
Kansas,2017,3953,669,6942,175127,560824,5966,65725,70422,3802,4350,1636,143749,2917059,15678,32544,298,5307,8704,1459,4024214.0
Kentucky,2017,2045,6841,46901,264474,440494,6860,4196,239897,3998,3097827,3926,234315,980132,86768,140591,61,16244,7837,5842,5589249.0
Louisiana,2017,5017,26564,23544,662015,844714,9307,2643,258689,5745,397,9098,135367,611011,13245,37693,98,6578,7852,1476,2661053.0
Massachusetts,2017,7567,54,48986,591040,7572853,324824,36910,146582,144856,167816,7644,5594055,177105,71542,316321,7026,7608,230107,30267,15483163.0
Maryland,2017,3701,355,49983,2051196,4375771,244480,228205,803249,1365586,467409,89757,16433334,4713464,254213,333124,4640,312082,256969,41109,32028627.0
Maine,2017,1257,56,492,188705,1924915,308,170,629,819,323137,377,79035,31223,340,13832,27,134,1434,1292,2568182.0
Michigan,2017,3169,497,4444,333835,5006478,29532,20790,61172,47197,1795,14127,812936,238097,13049,63282,7657,2627,33105,5737,6699526.0
Minnesota,2017,3061,330,8499,538494,1959463,22164,10342,34868,99865,2417395,2459,329252,121173,5645,129873,365,3713,39399,2159,5728519.0
Missouri,2017,7510,3140,40129,761982,10492304,101015,3733,164776,10962,846129,52115,810234,959082,13539,277468,4316,48374,26124,4584,14627516.0
Mississippi,2017,6543,2830,9104,272571,2103047,1524,2790,1032868,3491,415,29717,127628,29136,73322,80471,310,18473,12994,1651,3808885.0
