State,Year,"Agriculture, Forestry, Fishing and Hunting","Mining, Quarrying, and Oil and Gas Extraction",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (except Public Administration),Public Administration (not covered in economic census),Total Funding Received
Tennessee,2016,2992,7028,54559,258089,902542,13966,6602,286683,35637,181440,3118,936591,5772080,34446,115913,259,5176,33242,3427,8653790.0
Texas,2016,6837,13584,137984,1358800,25194736,112101,46678,1777986,281126,300741,68849,3512590,1580679,343316,668828,3697,100815,108828,69996,35688171.0
Utah,2016,13279,1145,25358,215135,713731,8688,3293,36846,19485,6420,76444,594511,118593,24927,23865,489,5035,25206,1663,1914113.0
Virginia,2016,3853,4864,94180,1810489,8066423,1513801,426240,997696,4025390,275662,171698,28936732,2846391,395171,517406,6136,63266,459064,11452,50625914.0
Vermont,2016,280,68,189,78729,286129,3411,749,589,32387,2661,238,38257,11809,15657,5448,23,1031,1585,241,479481.0
Washington,2016,15932,3584,21172,829797,7950878,46547,5873,102347,101751,158261,16143,1788526,2201628,32243,79337,7096,22343,24475,6888,13414821.0
Wisconsin,2016,3541,1973,15414,126040,2343725,17090,6686,23058,13827,369671,4422,159329,53179,14161,201876,31,4378,15094,3110,3376605.0
West Virginia,2016,923,825,23143,163033,176295,18774,21679,3657,143458,623,4075,671514,107207,37629,45056,252,4797,14320,1661,1438921.0
Wyoming,2016,8676,1942,3324,142494,31664,1175,900,22801,2208,165,5891,38855,28403,7906,10563,71,2775,1741,839,312393.0
United States,2016,422981,181019,1665581,22753603,173759740,6400378,1203468,11754141,10990907,16493367,1010249,120888062,39952659,3663429,8674459,98787,1163898,2587577,631446,0.0
